流水號,課號
23596,Genom7012
19297,MCB7010
15852,MDI8017
55785,MDI7026
43171,MDI8024
46734,AniSci7022
51702,FOOD7407
11452,CIE2009
27975,CIE5087
39613,CIE5104
51768,Phys1007
48890,ME2009
13616,ME2008
23564,ESOE3003
58389,ME5105
22818,ME5105
44113,ME5105
58659,ME5105
14800,ME5105
58220,ME5105
52633,ME5105
56923,ME5105
37909,ME5105
43806,ME5105
55940,ME5105
49162,ME5105
40881,ME5105
35768,ME5105
43620,ME5105
17364,ME5105
33648,ME5247
46432,ME5248
46029,ME5297
45178,ChemE4002
10878,ChemE4002
45077,ChemE4002
24573,ChemE4002
28747,ChemE4002
44996,ChemE4002
44256,ChemE4002
28075,ChemE4002
52652,ChemE4002
13011,ChemE4002
29497,ChemE4002
35643,ESOE2031
57895,ESOE8002
51323,ESOE8002
56969,ESOE8002
26032,ESOE8002
34972,ESOE8002
32862,ESOE8002
46246,MSE5008
44388,MSE5008
42856,MSE5008
18795,MSE5008
44234,MSE5008
59684,MSE5008
32205,DBME4001
12126,MSE5010
46693,MSE5010
14459,MSE5010
15934,MSE5010
44048,MSE5010
11632,MSE5010
12263,MSE5010
11591,MSE5010
52967,MSE5010
39048,DBME1005
44168,DBME5001
47234,CIE7211
42998,CIE7113
21553,ME7105
35574,ME8005
54373,ME8005
36457,ME8005
10404,ME8005
13967,ME8005
29656,ME8005
28485,ME8005
20363,ME8005
33874,ME8005
18566,ME8005
37020,ME8005
43478,ME8005
38537,ME8005
22829,ChemE8001
19511,ChemE8001
34161,ChemE8001
32628,ChemE8001
57068,ChemE8001
24917,ChemE7025
33894,PSE7024
36542,ChemE7025
46007,ChemE7025
52940,ChemE7025
32509,ChemE7025
12671,ChemE7027
25678,ChemE7027
18474,ChemE7027
19611,MSE8001
42187,MSE8001
45403,MSE8001
59415,MSE8001
19802,MSE8001
47922,MSE7001
26276,MSE7001
59338,MSE7001
43236,MSE7042
35624,DBME7002
14445,DBME7002
23134,DBME7002
26064,DBME7002
42793,DBME7002
53458,DBME5030
26093,DBME5036
31934,DBME8001
59649,AM7003
29751,AM7003
16700,AM7021
51204,DS5639
21593,IE8001
36962,IE7004
22673,IE7004
48718,IE7004
35075,PSE8004
45919,Chem2035
43221,LS1019
24737,Agron4014
34614,Agron4014
34227,Agron4014
29923,Agron4014
10853,Agron4014
33774,Agron4014
17673,Agron4014
40360,Agron4014
45999,Agron4014
19644,Agron4014
29946,Agron4014
17435,Agron4014
39238,Agron4014
19310,BSE4002
49395,BSE4002
53098,BSE4002
