課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON
德文一下,林倩君,外國語文學系,3,114-2,20635,FL2016,4.5,4.5,2.0,5.0,"[""[User35755 | 110-1]: Lektion 7: Willkommen in Berlin 歡迎來到柏林\n授課內容:\n1.詢問地點\n2.明瞭當地人給的訊息\n3.搭乘公車和火車/地鐵/有軌電車\n4.文法: 第三格 (Dativ) 之出現形式; 須接第三格的介系詞: mit, zu; 疑問詞 “welch” 的用法; 祈使句\n\nLektion 8: Zimmer, Küche, Bad 房間廚房浴室\n授課內容:\n1.談論租屋\n2.認識租屋廣告\n3.文法:現在完成式1: haben + Partizip II; 情態動詞: wollen 與können\n\nLektion 9: Was ist passiert? 發生什麼事了?\n授課內容:\n1.說出一天的日程安排\n2.履歷的書寫\n3.陳述發生或經歷過的事情\n4.文法: 現在完成式2: sein + Partizip II; 須接第三格的介系詞: vor, nach, seit\n\nLektion 10:　Ich arbeite bei … 我在 … 地方工作\n授課內容:\n1.談論職業/工作\n2.談自己喜愛的職業\n3.認識求職/求才廣告\n4.文法: 句子結構綜述; 情態動詞: müssen; 序數\n\nLektion 11: Gesund und fit 健康並且精力充沛\n授課內容:\n1.說出身體部位\n2.就醫用語\n3.談論健康與疾病\n4.所有格\n5.文法: 情態動詞: dürfen與sollen; ja, nein, doch之用法(復習); 祈使句綜述\n\nLektion 12: Schönes Wochenende! 週末愉快!\n授課內容:\n1.旅程預定\n2.旅客問訊: 旅館住宿, 購票等\n3.談天氣\n4.認識旅遊廣告\n5.文法: 人稱代詞之第四格(Akkusativ); 可接第四格及第三格之介系詞; es 的用法\n課本教材，聽說讀寫都有，且特別注重文法及單字、時態背誦，上完倩君的課，文法的底子應該夠紮實，唯口說練習較少\n每\n次大考前大約要背200個單字，陰陽性也會考\n有時候會補充德國文化及旅遊知識，以及教授自身在德國的經歷、德國研究所等課外實用的內容\nBerliner Platz 1 NEU\n30%單字\n10%聽力測驗（會從課本教過的聽力練習出，但會改題目）\n35%文法\n25%其他（如重組句子、翻譯）\n5%期中前小考、5%期末前小考\n2次作業共10%\n期中考30%\n期末考50%\n上學期給50%人A+\n推倩君的課，有上過嘉穎的課，覺得兩者之間差異在於倩君比較注重文法及單字，對於想把德文基礎底子打好的人，很推！\n（老師人超nice)""]","[{""User_ID"": ""User35755"", ""Semester"": ""110-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Lektion 7: Willkommen in Berlin 歡迎來到柏林\n授課內容:\n1.詢問地點\n2.明瞭當地人給的訊息\n3.搭乘公車和火車/地鐵/有軌電車\n4.文法: 第三格 (Dativ) 之出現形式; 須接第三格的介系詞: mit, zu; 疑問詞 “welch” 的用法; 祈使句\n\nLektion 8: Zimmer, Küche, Bad 房間廚房浴室\n授課內容:\n1.談論租屋\n2.認識租屋廣告\n3.文法:現在完成式1: haben + Partizip II; 情態動詞: wollen 與können\n\nLektion 9: Was ist passiert? 發生什麼事了?\n授課內容:\n1.說出一天的日程安排\n2.履歷的書寫\n3.陳述發生或經歷過的事情\n4.文法: 現在完成式2: sein + Partizip II; 須接第三格的介系詞: vor, nach, seit\n\nLektion 10:　Ich arbeite bei … 我在 … 地方工作\n授課內容:\n1.談論職業/工作\n2.談自己喜愛的職業\n3.認識求職/求才廣告\n4.文法: 句子結構綜述; 情態動詞: müssen; 序數\n\nLektion 11: Gesund und fit 健康並且精力充沛\n授課內容:\n1.說出身體部位\n2.就醫用語\n3.談論健康與疾病\n4.所有格\n5.文法: 情態動詞: dürfen與sollen; ja, nein, doch之用法(復習); 祈使句綜述\n\nLektion 12: Schönes Wochenende! 週末愉快!\n授課內容:\n1.旅程預定\n2.旅客問訊: 旅館住宿, 購票等\n3.談天氣\n4.認識旅遊廣告\n5.文法: 人稱代詞之第四格(Akkusativ); 可接第四格及第三格之介系詞; es 的用法\n課本教材，聽說讀寫都有，且特別注重文法及單字、時態背誦，上完倩君的課，文法的底子應該夠紮實，唯口說練習較少\n每\n次大考前大約要背200個單字，陰陽性也會考\n有時候會補充德國文化及旅遊知識，以及教授自身在德國的經歷、德國研究所等課外實用的內容\nBerliner Platz 1 NEU\n30%單字\n10%聽力測驗（會從課本教過的聽力練習出，但會改題目）\n35%文法\n25%其他（如重組句子、翻譯）\n5%期中前小考、5%期末前小考\n2次作業共10%\n期中考30%\n期末考50%\n上學期給50%人A+\n推倩君的課，有上過嘉穎的課，覺得兩者之間差異在於倩君比較注重文法及單字，對於想把德文基礎底子打好的人，很推！\n（老師人超nice)""}]"
西班牙文一下,張雯媛,外國語文學系,3,114-2,43495,FL2018,5.0,5.0,1.0,4.0,"[""[開發者本人 | 106-2]: • 課本進度（單字、對話、文法）\n• 動詞變化（現在式、未來式、現在進行式、現在完成式、過去式）\n• 口語對話練習（點餐、介紹興趣...等等）\n中文授課為主，不過課堂上有很多機會可以講西文，老師會準備一些對話讓我們和隔壁同學互相練習。除了教課本上的內容，老師也會準備講義講一些比較重要的文法，或是寫板書讓我們做筆記。進度會比其他班超前一些，但有認真上課不會有太大的負擔。\n1. ELE ACTUAL A1. Libro del alumno. Virgilio Borobio, Madrid: SM.\n2. Uso de la gramática española: elemental, Francisca Castro, Madrid: Edelsa.\n作業主要會有課本的聽力練習，還有USO的文法練習，通常不會有太多作業，老師也不會收作業，不過有時候上課檢討作業時會點人回答，有沒有混水摸魚很容易被發現。\n考試方面會有三次期中末筆試，老師都會先公布題型還有每一題對應的範圍，只要有認真上課，考試90分以上非常容易。另外會有兩次的口試，會分時段考，口試要講的東西老師都會先講，只要準備好講稿練熟不會有太大的問題。口試時會有約10位同學和老師圍成一圈，輪到的兩個人會在中間對話，對話之後老師會點其他人問對話內容相關的問題，就算沒有全部聽懂老師也不會刁難，如果有同學講到沒教過的單字，助教也會即時在黑板上補充。\n• 期中/期末考 60%（三次，各佔20%）\n• 口語聽力測驗 20%（期中期末各10% ）\n• 平時小考、作業 15%\n• 出席率 5%\n老師雖然常常看起來很厭世，但她其實很用心也很願意回答學生的問題。只要乖乖完成老師交代的作業和練習，就會有很大的收穫！""]","[{""User_ID"": ""開發者本人"", ""Semester"": ""106-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""• 課本進度（單字、對話、文法）\n• 動詞變化（現在式、未來式、現在進行式、現在完成式、過去式）\n• 口語對話練習（點餐、介紹興趣...等等）\n中文授課為主，不過課堂上有很多機會可以講西文，老師會準備一些對話讓我們和隔壁同學互相練習。除了教課本上的內容，老師也會準備講義講一些比較重要的文法，或是寫板書讓我們做筆記。進度會比其他班超前一些，但有認真上課不會有太大的負擔。\n1. ELE ACTUAL A1. Libro del alumno. Virgilio Borobio, Madrid: SM.\n2. Uso de la gramática española: elemental, Francisca Castro, Madrid: Edelsa.\n作業主要會有課本的聽力練習，還有USO的文法練習，通常不會有太多作業，老師也不會收作業，不過有時候上課檢討作業時會點人回答，有沒有混水摸魚很容易被發現。\n考試方面會有三次期中末筆試，老師都會先公布題型還有每一題對應的範圍，只要有認真上課，考試90分以上非常容易。另外會有兩次的口試，會分時段考，口試要講的東西老師都會先講，只要準備好講稿練熟不會有太大的問題。口試時會有約10位同學和老師圍成一圈，輪到的兩個人會在中間對話，對話之後老師會點其他人問對話內容相關的問題，就算沒有全部聽懂老師也不會刁難，如果有同學講到沒教過的單字，助教也會即時在黑板上補充。\n• 期中/期末考 60%（三次，各佔20%）\n• 口語聽力測驗 20%（期中期末各10% ）\n• 平時小考、作業 15%\n• 出席率 5%\n老師雖然常常看起來很厭世，但她其實很用心也很願意回答學生的問題。只要乖乖完成老師交代的作業和練習，就會有很大的收穫！""}]"
西班牙文一下,馬德睿,外國語文學系,3,114-2,34717,FL2018,,,,,"[""無評價""]",[]
俄文一下,熊宗慧,外國語文學系,3,114-2,41950,FL2020,,,,,"[""無評價""]",[]
英文作文一下,石書豪,外國語文學系,2,114-2,36327,FL1020,,,,,"[""無評價""]",[]
英文作文一下,曾琦智,外國語文學系,2,114-2,51952,FL1020,,,,,"[""無評價""]",[]
英文作文一下,胥嘉陵,外國語文學系,2,114-2,49064,FL1020,,,,,"[""無評價""]",[]
英文作文一下,施純宜,外國語文學系,2,114-2,35268,FL1020,,,,,"[""無評價""]",[]
英文作文一下,曼紐爾,外國語文學系,2,114-2,36175,FL1020,,,,,"[""無評價""]",[]
英語口語訓練一下,曾琦智,外國語文學系,2,114-2,12481,FL1022,,,,,"[""無評價""]",[]
英語口語訓練一下,黃馨瑩,外國語文學系,2,114-2,19341,FL1022,,,,,"[""無評價""]",[]
英語口語訓練一下,王沐嵐,外國語文學系,2,114-2,55569,FL1022,,,,,"[""無評價""]",[]
英語口語訓練一下,陳重仁,外國語文學系,2,114-2,10184,FL1022,,,,,"[""無評價""]",[]
日文一下,許惠晴,外國語文學系,3,114-2,14654,JpnL2018,,,,,"[""無評價""]",[]
語言學概論下,郭貞秀,外國語文學系,3,114-2,42419,FL2008,,,,,"[""[PTT | 109-2]: 轉載自 PTT 作者 ID: laimooooo (貘子)\n哪一學年度修課：109全\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n郭貞秀\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n外文系大二必修/神經認知學程\n\nδ 課程大概內容\n上學期 是理論語言學\nIntroduction、Phonetics、Phonology、Morphology 、Syntax\n下學期 是應用\nSemantics、Historical Linguistics、Social Linguistics、Language Acquisition、P\nsychology Linguistics\n\nΩ 私心推薦指數(以五分計) ★★★★★\n整體：滿天流星雨！\n涼度 ★★★～★★★★\n甜度 ★★★★ ～★★★★★\n想打好語言學基礎 ★★★★ ～★★★★★\n對語言學有興趣 滿天星\n想聽可愛老師上課 滿天星\n對語言學沒興趣只想混過學分0\n\n\nη 上課用書(影印講義或是指定教科書)\n\nFromkin, V.,Rodman, R., and Hyams, N. (2018). An Introduction to Language. 11t\nhed. Wadsworth Cengage Learing\n個人覺得可以不用買，我買了只翻過兩三次\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n自己覺得貞秀的語概應該是三個班（或二）難度最適中的（沒有Diss其他老師的意思XD，\n就同學之間分享的）每個單元大概花二到三週介紹，結束之後會有一份佔學期成績10%的\n作業，內容大多是一些實作練習，上課有好好聽應該能拿80甚至90以上。\n\n老師會上傳不完整的PPT到NTU COOL，有些內容筆記要自己補充。老師大概60-70%用英文\n講課，會用中文補充跟講解一些解題技巧，英文都是蠻好理解的那種（除了專有名詞）。\n老師上課很想跟大家互動（問問題之類的），大概都只有前三排在回，回答問題很容易被\n老師記住！\n\n老師超級可愛～像天使一樣，上課有時候會自嗨，也會講一些語言學相關的Fun fact，也\n會帶大家做一些語言學實驗，如果對語言學有興趣的人應該會很享受老師的課。有聽不懂\n或跟不上的部分也可以下課馬上找老師問，老師會很細心的重講給你聽。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n作業60% （共6份，1份10%）\n期中/末 40%\n109-1 是考四次期中/末，一次10%\n109-2改16週後考兩次，一次20%\n\n自己覺得頗扎實甜的><\n作業就很像高中的那種學習單（填空格、畫句法樹、整理語料、或簡單的報告等等），在\nNTU COOL上要自己印，寫完可以跟同學對答案討論，不會寫的部分也可以問老師，老師會\n「暗示」你答案。\n作業一定要準時交，老師不開放補繳的。\n\n考試基本上就是PPT加作業內容，只要PPT例題跟觀念讀熟要拿80以上應該沒什麼問題！\n\nρ 考題型式、作業方式\n如上\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n完全不點名，但個人覺得有去上課會輕鬆很多，回去只要乖乖寫作業複習應該就能過得快\n快樂樂。\n\n加簽的話，外文系本身就供不應求，很多大三都大二沒選到才回去修，外系要加簽滿難的\n（當年好像20-30抽5）\n\n基本上不需要什麼基礎，帶著一顆愛語概跟貞秀的心就可以！\n\n\nΨ 總結\n貞秀的語概真的大推，學得到東西又過得快樂！\n以下開放Grace粉報到！\n（手機排版請見諒）\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1643181985.A.C3A.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""109-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: laimooooo (貘子)\n哪一學年度修課：109全\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n郭貞秀\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n外文系大二必修/神經認知學程\n\nδ 課程大概內容\n上學期 是理論語言學\nIntroduction、Phonetics、Phonology、Morphology 、Syntax\n下學期 是應用\nSemantics、Historical Linguistics、Social Linguistics、Language Acquisition、P\nsychology Linguistics\n\nΩ 私心推薦指數(以五分計) ★★★★★\n整體：滿天流星雨！\n涼度 ★★★～★★★★\n甜度 ★★★★ ～★★★★★\n想打好語言學基礎 ★★★★ ～★★★★★\n對語言學有興趣 滿天星\n想聽可愛老師上課 滿天星\n對語言學沒興趣只想混過學分0\n\n\nη 上課用書(影印講義或是指定教科書)\n\nFromkin, V.,Rodman, R., and Hyams, N. (2018). An Introduction to Language. 11t\nhed. Wadsworth Cengage Learing\n個人覺得可以不用買，我買了只翻過兩三次\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n\n自己覺得貞秀的語概應該是三個班（或二）難度最適中的（沒有Diss其他老師的意思XD，\n就同學之間分享的）每個單元大概花二到三週介紹，結束之後會有一份佔學期成績10%的\n作業，內容大多是一些實作練習，上課有好好聽應該能拿80甚至90以上。\n\n老師會上傳不完整的PPT到NTU COOL，有些內容筆記要自己補充。老師大概60-70%用英文\n講課，會用中文補充跟講解一些解題技巧，英文都是蠻好理解的那種（除了專有名詞）。\n老師上課很想跟大家互動（問問題之類的），大概都只有前三排在回，回答問題很容易被\n老師記住！\n\n老師超級可愛～像天使一樣，上課有時候會自嗨，也會講一些語言學相關的Fun fact，也\n會帶大家做一些語言學實驗，如果對語言學有興趣的人應該會很享受老師的課。有聽不懂\n或跟不上的部分也可以下課馬上找老師問，老師會很細心的重講給你聽。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n作業60% （共6份，1份10%）\n期中/末 40%\n109-1 是考四次期中/末，一次10%\n109-2改16週後考兩次，一次20%\n\n自己覺得頗扎實甜的><\n作業就很像高中的那種學習單（填空格、畫句法樹、整理語料、或簡單的報告等等），在\nNTU COOL上要自己印，寫完可以跟同學對答案討論，不會寫的部分也可以問老師，老師會\n「暗示」你答案。\n作業一定要準時交，老師不開放補繳的。\n\n考試基本上就是PPT加作業內容，只要PPT例題跟觀念讀熟要拿80以上應該沒什麼問題！\n\nρ 考題型式、作業方式\n如上\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n完全不點名，但個人覺得有去上課會輕鬆很多，回去只要乖乖寫作業複習應該就能過得快\n快樂樂。\n\n加簽的話，外文系本身就供不應求，很多大三都大二沒選到才回去修，外系要加簽滿難的\n（當年好像20-30抽5）\n\n基本上不需要什麼基礎，帶著一顆愛語概跟貞秀的心就可以！\n\n\nΨ 總結\n貞秀的語概真的大推，學得到東西又過得快樂！\n以下開放Grace粉報到！\n（手機排版請見諒）\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1643181985.A.C3A.html""}]"
語言學概論下,石書豪,外國語文學系,3,114-2,42726,FL2008,,,,,"[""無評價""]",[]
古希臘文一下,范吉歐,外國語文學系,3,114-2,28108,FL2024,,,,,"[""無評價""]",[]
中世紀英國文學,劉雅詩,外國語文學系,3,114-2,37032,FL2002,,,,,"[""無評價""]",[]
十七與十八世紀英國文學,奇邁可,外國語文學系,3,114-2,37731,FL2004,,,,,"[""無評價""]",[]
