課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON
國際企業導論,吳政衛,國際企業學系,3,114-2,28612,IB1006,,,,,"[""無評價""]",[]
統計學一下,游孝元,國際企業學系,3,114-2,36111,MGT2002,,,,,"[""無評價""]",[]
行銷管理,謝明慧,國際企業學系,3,114-2,26794,IB2008,3.0,3.0,4.0,4.0,"[""[User19757 | 111-2]: 以團體作業為主，所以很吃組員。老師是很有想法的人，但是在跟老師對話的時候常感覺她有點先入為主，不允許你反駁的感覺。""]","[{""User_ID"": ""User19757"", ""Semester"": ""111-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""以團體作業為主，所以很吃組員。老師是很有想法的人，但是在跟老師對話的時候常感覺她有點先入為主，不允許你反駁的感覺。""}]"
國際企業管理,連勇智,國際企業學系、國際企業學研究所,3,114-2,16235,IB2010,,,,,"[""[PTT | 108-2]: 轉載自 PTT 作者 ID: hlyduck (鴨)\n哪一學年度修課：\n108-2\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n連勇智\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n國企系大二必修\nδ 課程大概內容\nCh1 Globalization\nCh2 Understanding Politics, Laws, and Economics\nCh3 Culture, Ethics, and Norms\nCh4 Leveraging Capabilities Globally\nCh5 International Trade\nCh6 Investing Abroad FDI\nCh9 Entrepreneurial Firms\nCh10 Enter Foreign Markets\nCh11 Global Competitive Dynamics\nCh12 Alliance & Acquisitions\nCh13 Strategy and Structure\nCh15 Marketing & Supply Chain Management\nΩ 私心推薦指數(以五分計) ★★★★★\n★★★★★ ……吧？\nη 上課用書(影印講義或是指定教科書)\nGlobal Business, 4th edition, Mike Peng\nμ 上課方式(投影片、團體討論、老師教學風格)\n老師會印出投影片發下來做為上課講義。\n上課時可以感覺到老師有很豐富的知識及見聞，不過老師不太擅長掌握上課氛圍和節奏的樣子。課程進行到後半學期時老師的廢話比例有稍微上升，接著發現進度有點落後又開啟趕課模式。\n課程最後20分鐘是每週輪流的小組closing case報告及提問。\nσ 評分方式(給分甜嗎？是紮實分？)\n10% 課堂表現\n35% 小組報告\n25% 期中考\n30% 期末考\n根據原始成績的分布，經過常態分配轉換產生最後成績，個人覺得算是紮實甜\nρ 考題型式、作業方式\n期中考滿分100，選擇60分、問答40分。期末考滿分100，選擇80分、問答20分。\n投影片和個案有讀有分數！考試不會考範圍外或很難的延伸，上課內容讀熟就能拿高分。\n作業的話，老師每週會發個案文章，小組內討論後寫一份A4雙面以內的心得，包括文章簡述、問題回答及延伸討論。\n小組報告的內容是課本裡的closing case，過程也是文章簡述、問題回答及延伸討論。除了每週的報告組以外，老師也會指定提問組。\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n除了當週的報告組和提問組要出席以外，老師應該不太在意出席或遲到早退。\n廢話的比例有一點偏高，老師會講跟課程無關的他的人生故事。\n老師常常上課講到一半在不太重要的地方停下來問「是不是？同學是不是這樣？」但是都沒有人回答他……\nΨ 總結\n其實課程內容本身算滿有趣的，只是自己讀比較不浪費時間就是了。\n\n--\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1594402209.A.186.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""108-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: hlyduck (鴨)\n哪一學年度修課：\n108-2\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n連勇智\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n國企系大二必修\nδ 課程大概內容\nCh1 Globalization\nCh2 Understanding Politics, Laws, and Economics\nCh3 Culture, Ethics, and Norms\nCh4 Leveraging Capabilities Globally\nCh5 International Trade\nCh6 Investing Abroad FDI\nCh9 Entrepreneurial Firms\nCh10 Enter Foreign Markets\nCh11 Global Competitive Dynamics\nCh12 Alliance & Acquisitions\nCh13 Strategy and Structure\nCh15 Marketing & Supply Chain Management\nΩ 私心推薦指數(以五分計) ★★★★★\n★★★★★ ……吧？\nη 上課用書(影印講義或是指定教科書)\nGlobal Business, 4th edition, Mike Peng\nμ 上課方式(投影片、團體討論、老師教學風格)\n老師會印出投影片發下來做為上課講義。\n上課時可以感覺到老師有很豐富的知識及見聞，不過老師不太擅長掌握上課氛圍和節奏的樣子。課程進行到後半學期時老師的廢話比例有稍微上升，接著發現進度有點落後又開啟趕課模式。\n課程最後20分鐘是每週輪流的小組closing case報告及提問。\nσ 評分方式(給分甜嗎？是紮實分？)\n10% 課堂表現\n35% 小組報告\n25% 期中考\n30% 期末考\n根據原始成績的分布，經過常態分配轉換產生最後成績，個人覺得算是紮實甜\nρ 考題型式、作業方式\n期中考滿分100，選擇60分、問答40分。期末考滿分100，選擇80分、問答20分。\n投影片和個案有讀有分數！考試不會考範圍外或很難的延伸，上課內容讀熟就能拿高分。\n作業的話，老師每週會發個案文章，小組內討論後寫一份A4雙面以內的心得，包括文章簡述、問題回答及延伸討論。\n小組報告的內容是課本裡的closing case，過程也是文章簡述、問題回答及延伸討論。除了每週的報告組以外，老師也會指定提問組。\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n除了當週的報告組和提問組要出席以外，老師應該不太在意出席或遲到早退。\n廢話的比例有一點偏高，老師會講跟課程無關的他的人生故事。\n老師常常上課講到一半在不太重要的地方停下來問「是不是？同學是不是這樣？」但是都沒有人回答他……\nΨ 總結\n其實課程內容本身算滿有趣的，只是自己讀比較不浪費時間就是了。\n\n--\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1594402209.A.186.html""}]"
國際企業管理,何筱文,國際企業學系、國際企業學研究所,3,114-2,50898,IB2010,5.0,4.0,5.0,2.0,"[""[User83252 | 114-1]: This course is designed to provide a comprehensive understanding of how to plan, organize, lead, and control business operations across national borders. It combines core business functions with the complexities of the global environment.\nLectures, In-class Discussions, Roleplay\nTextbook, PPT Slides\nDeal Negotiation Roleplay, Group Presentation\nThis course was highly valuable, offering a strong mix of practical and theoretical knowledge on global business complexities. The instructor was excellent, delivering challenging concepts with clarity and enthusiasm. Crucially, the workload felt perfectly matched to the class flow, making it a well-paced and manageable learning journey. The standout roleplay assignment provided crucial practical experience in cross-cultural dynamics and negotiation, significantly deepening my understanding of theoretical frameworks.""]","[{""User_ID"": ""User83252"", ""Semester"": ""114-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""This course is designed to provide a comprehensive understanding of how to plan, organize, lead, and control business operations across national borders. It combines core business functions with the complexities of the global environment.\nLectures, In-class Discussions, Roleplay\nTextbook, PPT Slides\nDeal Negotiation Roleplay, Group Presentation\nThis course was highly valuable, offering a strong mix of practical and theoretical knowledge on global business complexities. The instructor was excellent, delivering challenging concepts with clarity and enthusiasm. Crucially, the workload felt perfectly matched to the class flow, making it a well-paced and manageable learning journey. The standout roleplay assignment provided crucial practical experience in cross-cultural dynamics and negotiation, significantly deepening my understanding of theoretical frameworks.""}]"
財務管理,盧秋玲,國際企業學系、國際企業學研究所,3,114-2,44420,IB2012,4.5,4.5,3.0,5.0,"[""[User78492 | 111-1]: 會從公司治理開始教，會是比較基礎的內容，但都是很實用的，上課的舉例蠻生活化的！\n老師自己的投影片、兩個個案\n以老師的上傳的投影片為主即可！\n個案作業分數、期中跟期末考（忘了有沒有出席成績了）\n老師人真的很和善親切，教學也很扎實、不會趕課，考試難易度也適中！""]","[{""User_ID"": ""User78492"", ""Semester"": ""111-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""會從公司治理開始教，會是比較基礎的內容，但都是很實用的，上課的舉例蠻生活化的！\n老師自己的投影片、兩個個案\n以老師的上傳的投影片為主即可！\n個案作業分數、期中跟期末考（忘了有沒有出席成績了）\n老師人真的很和善親切，教學也很扎實、不會趕課，考試難易度也適中！""}]"
商事法,洪瑞燦,國際企業學系,3,114-2,16451,IB2013,4.5,3.5,2.0,4.5,"[""[bjcoffee | 110-2]: 公司法(~8堂課)、證券交易法(4堂課)、票據法(~3堂課)\n個人認為不太需要先修民法概要，雖然有一些總則跟債總的觀念會比較好\n演講課\n老師上課的方式蠻嚴謹，雖然比較少跟同學一來一往的互動，不過偶爾還是會走下來問同學對某個判決/法條的看法\n另外，不知道是不是因為教室設備或麥克風的關係，有時候老師講課的聲音有點小聲，某些字詞可能聽不太清楚，學期後半段用遠距上課就沒有該情形\n下課問老師問題他會很詳細的解釋，推\n老師的投影片 (內容充實) 會印成講義放在教室前面\n要自備小六法，但個人認為法規資料庫網站比較實用\n參考書籍: 個人認為元照出版的商事法(第八版)不錯，編排跟老師上課的內容差不多\n無作業\n考試: 期中考(選擇、簡答、申論) + 期末考(形式未知, 110-2未考)\n課程網上: 期中考1/3；期末考1/3；平時成績1/3\n教授: max{(期中考成績, 期末考成績)}*2/3 + min{(期中考成績, 期末考成績)}*1/3\n110-2實際: 取消期末考，由期中考成績換算調分\n推，沒有想像中的硬，雖然應該是管院的法律課程中比較扎實的\n個人覺得可能是因為商事法本身性質的關係，老師講解實例的機會較民法概要少，有些可惜""]","[{""User_ID"": ""bjcoffee"", ""Semester"": ""110-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""公司法(~8堂課)、證券交易法(4堂課)、票據法(~3堂課)\n個人認為不太需要先修民法概要，雖然有一些總則跟債總的觀念會比較好\n演講課\n老師上課的方式蠻嚴謹，雖然比較少跟同學一來一往的互動，不過偶爾還是會走下來問同學對某個判決/法條的看法\n另外，不知道是不是因為教室設備或麥克風的關係，有時候老師講課的聲音有點小聲，某些字詞可能聽不太清楚，學期後半段用遠距上課就沒有該情形\n下課問老師問題他會很詳細的解釋，推\n老師的投影片 (內容充實) 會印成講義放在教室前面\n要自備小六法，但個人認為法規資料庫網站比較實用\n參考書籍: 個人認為元照出版的商事法(第八版)不錯，編排跟老師上課的內容差不多\n無作業\n考試: 期中考(選擇、簡答、申論) + 期末考(形式未知, 110-2未考)\n課程網上: 期中考1/3；期末考1/3；平時成績1/3\n教授: max{(期中考成績, 期末考成績)}*2/3 + min{(期中考成績, 期末考成績)}*1/3\n110-2實際: 取消期末考，由期中考成績換算調分\n推，沒有想像中的硬，雖然應該是管院的法律課程中比較扎實的\n個人覺得可能是因為商事法本身性質的關係，老師講解實例的機會較民法概要少，有些可惜""}]"
國際企業經營策略,莊正民,國際企業學系,3,114-2,22319,IB3008,,,,,"[""[PTT | 104-1]: 轉載自 PTT 作者 ID: joeykim (嚇壞寶寶了)\n哪一學年度修課：\n104-1\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n莊正民 教授\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n台大國企所，碩二課程，但也有看到大學部來修，\n老師第一堂課會極力勸退非碩二的學生，但個人覺得這是一個\n入門國際企業管理的好課程\n但記住組員真得是世界重要，因為主要是討論個案，所以組員擺爛就完蛋！\n\nδ 課程大概內容\n國際企業管理(個案式教學)\n國際企業涵蓋營利、非營利\n大致上跟著課本、個案走\n\nΩ 私心推薦指數(以五分計) ★★★★★\n個人極推薦 ★★★★★★★\n純粹想當涼課 ★\n\nη 上課用書(影印講義或是指定教科書)\n指定用書為 Barlett的 Transnational Management:\nText,Cases,and readings in cross-Broader Management 7th，\n另外老師也建議可以買一本已經絕版的無國界管理，\n也是指定用書作者所寫的，基本上可以當作是課本的中譯本來讀了，\n老師上課也會發非常非常多指定閱讀資料，\n有時上課也會發ppt，總體來說是個超過3學分的閱讀量\n，但不見得每個人都會唸完就是了XD，但對我來說不是涼課，但是良課！\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n教學風格會先自己講述上禮拜閱讀資料的重點，\n然後再請各組利用一節課左右時間上台報告負責的個案\n（互動式的個案討論，但老師有時也會下海），\n最後一堂課老師可能會花30分鐘帶個案。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n的確是扎實分！但強者還是可以拿到A+啦！\n\nρ 考題型式、作業方式\n考試為申論題(申論+小個案)，申論鑽石模型等上課提及的概念。\n作業形式為幾乎每週都要交的write up ，以及小組逐字稿，\n反正就是每週崩潰的write up。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n出席好像沒有想像中重要，雖然後期助教有希望大家不要缺席，\n但缺席很多次的人也沒被當掉！\n老師個性比較感覺難以親近，但是他說的字字珠璣，\n讓我對於國際企業管理有很深的感觸，\n還有建議在準備報告上，可以尋找學長姐或老師給予意見，\n不然會覺得孤立無援，然後在台上被老師釘！\n\nΨ 總結\n是我這學期最喜歡的課！\n雖然每週在繳交write up前覺得很崩潰，但也對於國際企業有更深刻的理解！\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1454413053.A.DE2.html""]","[{""User_ID"": ""PTT"", ""Semester"": ""104-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""轉載自 PTT 作者 ID: joeykim (嚇壞寶寶了)\n哪一學年度修課：\n104-1\n\nψ 授課教師 (若為多人合授請寫開課教師，以方便收錄)\n莊正民 教授\n\nλ 開課系所與授課對象 (是否為必修或通識課 / 內容是否與某些背景相關)\n台大國企所，碩二課程，但也有看到大學部來修，\n老師第一堂課會極力勸退非碩二的學生，但個人覺得這是一個\n入門國際企業管理的好課程\n但記住組員真得是世界重要，因為主要是討論個案，所以組員擺爛就完蛋！\n\nδ 課程大概內容\n國際企業管理(個案式教學)\n國際企業涵蓋營利、非營利\n大致上跟著課本、個案走\n\nΩ 私心推薦指數(以五分計) ★★★★★\n個人極推薦 ★★★★★★★\n純粹想當涼課 ★\n\nη 上課用書(影印講義或是指定教科書)\n指定用書為 Barlett的 Transnational Management:\nText,Cases,and readings in cross-Broader Management 7th，\n另外老師也建議可以買一本已經絕版的無國界管理，\n也是指定用書作者所寫的，基本上可以當作是課本的中譯本來讀了，\n老師上課也會發非常非常多指定閱讀資料，\n有時上課也會發ppt，總體來說是個超過3學分的閱讀量\n，但不見得每個人都會唸完就是了XD，但對我來說不是涼課，但是良課！\n\nμ 上課方式(投影片、團體討論、老師教學風格)\n教學風格會先自己講述上禮拜閱讀資料的重點，\n然後再請各組利用一節課左右時間上台報告負責的個案\n（互動式的個案討論，但老師有時也會下海），\n最後一堂課老師可能會花30分鐘帶個案。\n\nσ 評分方式(給分甜嗎？是紮實分？)\n的確是扎實分！但強者還是可以拿到A+啦！\n\nρ 考題型式、作業方式\n考試為申論題(申論+小個案)，申論鑽石模型等上課提及的概念。\n作業形式為幾乎每週都要交的write up ，以及小組逐字稿，\n反正就是每週崩潰的write up。\n\nω 其它(是否注重出席率？如果為外系選修，需先有什麼基礎較好嗎？老師個性？\n加簽習慣？嚴禁遲到等…)\n出席好像沒有想像中重要，雖然後期助教有希望大家不要缺席，\n但缺席很多次的人也沒被當掉！\n老師個性比較感覺難以親近，但是他說的字字珠璣，\n讓我對於國際企業管理有很深的感觸，\n還有建議在準備報告上，可以尋找學長姐或老師給予意見，\n不然會覺得孤立無援，然後在台上被老師釘！\n\nΨ 總結\n是我這學期最喜歡的課！\n雖然每週在繳交write up前覺得很崩潰，但也對於國際企業有更深刻的理解！\n\n--\n\n原文網址: https://www.ptt.cc/bbs/NTUcourse/M.1454413053.A.DE2.html""}]"
國際企業經營策略,邱宏仁,國際企業學系、國際企業學研究所,3,114-2,12222,IB5059,3.5,4.3,4.4,2.6,"[""[User10652 | 114-2]: Every week the professor gives a broad topic for which he has prepared a slide deck, a written case from the real world as well as some additional material. In the lessons he discusses those materials, afterwards students can participate in an online discussion forum.\nThe teacher goes through the mentioned material, sometimes asking questions to students.\nslide decks for each topic with theoretical knowledge, written case from the real world, additional material (videos, articles...)\nstudents can participate in online discussions, every student has to hold one presentation in a group, the final exam consists of 4 question related to topics from the semester\nfinal exam, presentation, in class participation, participation in online forum\nI liked how the professor used real world examples and cases. The professor often jumped around different materials which made it often hard to follow in class.""]","[{""User_ID"": ""User10652"", ""Semester"": ""114-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Every week the professor gives a broad topic for which he has prepared a slide deck, a written case from the real world as well as some additional material. In the lessons he discusses those materials, afterwards students can participate in an online discussion forum.\nThe teacher goes through the mentioned material, sometimes asking questions to students.\nslide decks for each topic with theoretical knowledge, written case from the real world, additional material (videos, articles...)\nstudents can participate in online discussions, every student has to hold one presentation in a group, the final exam consists of 4 question related to topics from the semester\nfinal exam, presentation, in class participation, participation in online forum\nI liked how the professor used real world examples and cases. The professor often jumped around different materials which made it often hard to follow in class.""}]"
總體經濟學,趙捷謙,國際企業學系、國際企業學研究所,3,114-2,40640,IB5005,,,,,"[""無評價""]",[]
金融計算,王之彥,國際企業學系、國際企業學研究所,3,114-2,34985,IB5017,5.0,3.0,2.0,5.0,"[""[User45221 | 109-2]: 金融商品的一些基礎和四種常見評價方式\n一般授課，也會提供課程的錄影\n疫情期間老師則是改為NTU COOL撥放課程影片\n老師自編教材\n沒有考試，但有5次作業+3次Extra Bonus\n每份作業都有Basic Requirement(80%)和Bonus(10-15%)，單次作業成績滿分會<100\n嚴格禁止抄襲，所以要拿捏好跟同學組隊寫作業討論的分寸喔\n\n作業都一定會給兩周的期限，第二份作業一定是從前一份作業Demo完後開始再計兩週，以這點來說非常佛心\n如果作業都有好好寫，Extra Bonus不用全做也是可能成績破表的\n\n程式語言老師會以VBA為準，但不局限於此，只要可以code出來老師其實都接受的\n5次常規程式作業(92%)\nExtra Bonus(10-15%)\n課程參與(+2-3%)\n\n課程參與是指老師會不定期點名，有在的話就會加分\n老師授課非常的深入淺出，人也很好，各種policy都可以看出來老師很體諒學生\n如果對產品定價好奇的話可以上上看，確定自己對這個方向有沒有興趣。但對於之前沒有概念的人來說剛開始會有點辛苦\n記得上這門課要留夠多的時間，因為作業都是coding，滿花時間的，加上Extra Bonus的Demo時間跟最後一次作業很接近，想成績好看一點的人最好要注意一下時間規劃""]","[{""User_ID"": ""User45221"", ""Semester"": ""109-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""金融商品的一些基礎和四種常見評價方式\n一般授課，也會提供課程的錄影\n疫情期間老師則是改為NTU COOL撥放課程影片\n老師自編教材\n沒有考試，但有5次作業+3次Extra Bonus\n每份作業都有Basic Requirement(80%)和Bonus(10-15%)，單次作業成績滿分會<100\n嚴格禁止抄襲，所以要拿捏好跟同學組隊寫作業討論的分寸喔\n\n作業都一定會給兩周的期限，第二份作業一定是從前一份作業Demo完後開始再計兩週，以這點來說非常佛心\n如果作業都有好好寫，Extra Bonus不用全做也是可能成績破表的\n\n程式語言老師會以VBA為準，但不局限於此，只要可以code出來老師其實都接受的\n5次常規程式作業(92%)\nExtra Bonus(10-15%)\n課程參與(+2-3%)\n\n課程參與是指老師會不定期點名，有在的話就會加分\n老師授課非常的深入淺出，人也很好，各種policy都可以看出來老師很體諒學生\n如果對產品定價好奇的話可以上上看，確定自己對這個方向有沒有興趣。但對於之前沒有概念的人來說剛開始會有點辛苦\n記得上這門課要留夠多的時間，因為作業都是coding，滿花時間的，加上Extra Bonus的Demo時間跟最後一次作業很接近，想成績好看一點的人最好要注意一下時間規劃""}]"
國際併購與重組管理,邱宏仁,國際企業學系、國際企業學研究所,3,114-2,45803,IB5063,3.4,4.4,4.2,2.5,"[""[User78148 | 114-1]: Although the Prof seems very knowledgeable in this field, his way of teaching is definitely not for everyone. It is pretty much a course for self-study since it is highly difficult to follow anything the prof is trying to say in class.""]","[{""User_ID"": ""User78148"", ""Semester"": ""114-1"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""Although the Prof seems very knowledgeable in this field, his way of teaching is definitely not for everyone. It is pretty much a course for self-study since it is highly difficult to follow anything the prof is trying to say in class.""}]"
大數據行銷,任立中,國際企業學系、國際企業學研究所、統計碩士學位學程,3,114-2,11523,IB5082,5.0,4.0,4.5,3.8,"[""[金賀 | 111-2]: 都是影片教學，但是完全可以學到東西，助教的影片也非常仔細\n但學到的東西就比較偏應用面，數學相關的推導都不會需要理解\n算是體驗最簡單的行銷數據應用課程""]","[{""User_ID"": ""金賀"", ""Semester"": ""111-2"", ""Rating_Quality"": null, ""Rating_Sweet"": null, ""Rating_Easy"": null, ""Rating_Rich"": null, ""Comment"": ""都是影片教學，但是完全可以學到東西，助教的影片也非常仔細\n但學到的東西就比較偏應用面，數學相關的推導都不會需要理解\n算是體驗最簡單的行銷數據應用課程""}]"
知識經濟與人力分析,盧信昌,國際企業學系、國際企業學研究所,3,114-2,23095,IB5053,,,,,"[""無評價""]",[]
創業家思維與創業實務管理,林益全,國際企業學系、國際企業學研究所,3,114-2,47133,IB5088,,,,,"[""無評價""]",[]
統計學一下,陳靜枝,資訊管理學系,3,114-2,41870,MGT2002,,,,,"[""無評價""]",[]
作業系統,陳建錦,資訊管理學系,3,114-2,17476,IM2003,,,,,"[""無評價""]",[]
資管專題一,莊裕澤,資訊管理學系,2,114-2,15445,IM3009,,,,,"[""無評價""]",[]
資管專題一,曹承礎,資訊管理學系,2,114-2,41611,IM3009,,,,,"[""無評價""]",[]
資管專題一,林永松,資訊管理學系,2,114-2,39738,IM3009,,,,,"[""無評價""]",[]
資管專題一,蔡益坤,資訊管理學系,2,114-2,10343,IM3009,,,,,"[""無評價""]",[]
資管專題一,魏志平,資訊管理學系,2,114-2,39698,IM3009,,,,,"[""無評價""]",[]
資管專題一,盧信銘,資訊管理學系,2,114-2,10787,IM3009,,,,,"[""無評價""]",[]
資管專題一,孔令傑,資訊管理學系,2,114-2,20949,IM3009,,,,,"[""無評價""]",[]
資管專題一,李家岩,資訊管理學系,2,114-2,24050,IM3009,,,,,"[""無評價""]",[]
計算理論,蔡益坤,資訊管理學系,3,114-2,55970,IM3006,,,,,"[""無評價""]",[]
