課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
學士專題研究丙,游文岳,16151,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/16151
學士專題研究丙,李奕霈,44460,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/44460
學士專題研究丙,郭修伯,46320,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/46320
學士專題研究丙,陳嘉晉,58226,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/58226
學士專題研究丙,林立強,57859,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/57859
學士專題研究丙,余柏毅,56305,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/56305
學士專題研究丙,崔宏瑋,38891,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/38891
學士專題研究丙,歐德理,44252,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/44252
學士專題研究丙,杜育銘,47043,ChemE4002,504400C0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/47043
化學反應工程,吳乃立,30679,ChemE4005,50442000,必修,,"一 2 / 三 3,4",普301/普302,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/30679
化學反應工程,王勝仕,47825,ChemE4005,50442000,必修,,"一 2 / 三 3,4",綜403,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/47825
化學反應工程,游佳欣,17360,ChemE4005,50442000,必修,,"一 2 / 三 3,4",綜503,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/17360
程序控制,錢義隆,47176,ChemE4007,50443100,必修,,"四 8,9,10",綜402,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/47176
化學工業程序,康敦彥,38459,ChemE4013,50449000,必修,,"五 3,4",信義講堂,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/38459
化工程序設計,吳哲夫,45942,ChemE4014,50444200,必修,,"一 3,4",普101,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/45942
學士專題研究甲,諶玉真,33082,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/33082
學士專題研究甲,王勝仕,33083,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/33083
學士專題研究甲,林祥泰,53410,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/53410
學士專題研究甲,吳嘉文,22528,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/22528
學士專題研究甲,游佳欣,52867,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/52867
學士專題研究甲,趙  玲,56536,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/56536
學士專題研究甲,闕居振,29150,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/29150
學士專題研究甲,歐德理,11864,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/11864
學士專題研究甲,杜育銘,32130,ChemE4017,504410A0,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/32130
半導體製程概論,陳嘉晉,30537,ChemE5004,524U0280,選修,,"一 6,7,8",綜602,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/30537
生物化學概論,蔡偉博,25932,ChemE5016,524U0850,選修,,"五 5,6,7",綜301,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/25932
電化學工程,顏溪成,21263,ChemE5018,524U0920,選修,,"二 8,9,10",綜602,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/21263
材料科學概論,呂宗昕,24628,ChemE5027,524U1200,選修,,"二 6,7,8",綜403,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/24628
石化工業程序,張良志,29079,ChemE5034,524U2040,選修,,"二 6,7,8",綜603,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/29079
化工原理與生物現象,謝之真,52155,ChemE5049,524U2150,選修,,"一 6,7,8",綜301,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/52155
生化分離及生物程序工程,王勝仕,24027,ChemE5054,524U2190,選修,,"三 7,8,9",綜301,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/24027
化工產品之開發與管理,陳松興,30196,ChemE5061,524U2230,選修,,"一 6,7,8",共101,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/30196
物化特論-統計熱力學,游琇伃,44589,ChemE5066,524U1060,選修,,"四 6,7,8",綜503,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/44589
高分子材料科學,鄒海雄,26433,ChemE5068,524U2270,選修,,"四 7,8,9",綜403,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/26433
AI在化工的應用,李奕霈,31384,ChemE5072,524U2310,選修,,"五 6,7,8",,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/31384
生物工程專題,趙  玲,46200,ChemE5075,524U2330,選修,,"四 6,7,8",綜302,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/46200
專題討論,吳乃立,43552,ChemE7001,524M0030,必修,,"五 8,9,10",信義講堂,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/43552
高等化工熱力學,康敦彥,53376,ChemE7003,524M1110,必修,,"二 3,4 / 四 3",楊斌彥廳,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/53376
高等化工熱力學,闕居振,38384,ChemE7003,524M1110,必修,,"二 3,4 / 四 3",慶琅廳,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/38384
高等熱質量傳遞,藍崇文,34585,ChemE7006,524M1200,必修,,"一 2 / 三 3,4",楊斌彥廳,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/34585
高等熱質量傳遞,崔宏瑋,10983,ChemE7006,524M1200,必修,,"一 2 / 三 3,4",慶琅廳,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/10983
高等程序控制,吳哲夫,48848,ChemE7011,524M1340,選修,,"二 6,7 / 四 7",聯電講堂,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/48848
電腦輔助程序設計,錢義隆,18339,ChemE7012,524M1350,選修,,"一 8,9,10",聯電講堂,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/18339
碩士專題研究二,吳乃立,30400,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/30400
碩士專題研究二,陳誠亮,17389,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/17389
碩士專題研究二,呂宗昕,38878,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/38878
碩士專題研究二,藍崇文,44220,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/44220
碩士專題研究二,陳文章,17826,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/17826
碩士專題研究二,吳紀聖,36542,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/36542
碩士專題研究二,戴子安,41536,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/41536
碩士專題研究二,王勝仕,35521,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/35521
碩士專題研究二,林祥泰,21719,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/21719
碩士專題研究二,徐振哲,58438,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/58438
碩士專題研究二,吳嘉文,47749,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/47749
碩士專題研究二,吳哲夫,40678,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/40678
碩士專題研究二,謝之真,46666,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/46666
碩士專題研究二,廖英志,34425,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/34425
碩士專題研究二,陳賢燁,24662,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/24662
碩士專題研究二,游佳欣,51916,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/51916
碩士專題研究二,趙  玲,43843,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/43843
碩士專題研究二,康敦彥,31584,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/31584
碩士專題研究二,游琇伃,47697,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/47697
碩士專題研究二,闕居振,54868,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/54868
碩士專題研究二,游文岳,46437,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/46437
碩士專題研究二,李奕霈,33730,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/33730
碩士專題研究二,郭修伯,31755,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/31755
碩士專題研究二,陳嘉晉,20442,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/20442
碩士專題研究二,林立強,25176,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/25176
碩士專題研究二,謝依芸,29067,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/29067
碩士專題研究二,吳台偉,59426,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/59426
碩士專題研究二,余柏毅,10643,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/10643
碩士專題研究二,崔宏瑋,51541,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/51541
碩士專題研究二,歐德理,34176,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/34176
碩士專題研究二,杜育銘,11097,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/11097
碩士專題研究二,吳恆良,56798,ChemE7025,524M6020,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/56798
碩士專題研究四,吳乃立,24971,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/24971
碩士專題研究四,陳誠亮,12671,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/12671
碩士專題研究四,藍崇文,54048,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/54048
碩士專題研究四,陳文章,21498,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/21498
碩士專題研究四,吳紀聖,44665,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/44665
碩士專題研究四,王大銘,44722,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/44722
碩士專題研究四,謝學真,23516,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/23516
碩士專題研究四,諶玉真,23287,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/23287
碩士專題研究四,蔡偉博,53081,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/53081
碩士專題研究四,戴子安,13340,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/13340
碩士專題研究四,林祥泰,56291,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/56291
碩士專題研究四,徐振哲,41093,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/41093
碩士專題研究四,吳嘉文,51790,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/51790
碩士專題研究四,吳哲夫,29270,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/29270
碩士專題研究四,謝之真,33735,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/33735
碩士專題研究四,廖英志,20937,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/20937
碩士專題研究四,陳賢燁,51357,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/51357
碩士專題研究四,游佳欣,10215,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/10215
碩士專題研究四,趙  玲,45189,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/45189
碩士專題研究四,康敦彥,24357,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/24357
碩士專題研究四,游琇伃,57449,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/57449
碩士專題研究四,闕居振,49497,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/49497
碩士專題研究四,游文岳,34303,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/34303
碩士專題研究四,李奕霈,58589,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/58589
碩士專題研究四,郭修伯,42832,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/42832
碩士專題研究四,陳嘉晉,20035,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/20035
碩士專題研究四,林立強,53569,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/53569
碩士專題研究四,謝依芸,30026,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/30026
碩士專題研究四,吳台偉,59281,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/59281
碩士專題研究四,余柏毅,17396,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/17396
碩士專題研究四,杜育銘,34793,ChemE7027,524M6040,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/34793
高等物化特論,吳台偉,27489,ChemE7041,524M6180,選修,,"三 7,8,9",聯電講堂,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/27489
碩士論文,,55230,ChemE7999,524M0010,必修,,,,1 類,,0,,https://course.ntu.edu.tw/courses/114-2/55230
博士專題研究,吳乃立,40544,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/40544
博士專題研究,陳立仁,48931,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/48931
博士專題研究,呂宗昕,33301,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/33301
博士專題研究,藍崇文,46629,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/46629
博士專題研究,陳文章,54965,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/54965
博士專題研究,吳紀聖,35006,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/35006
博士專題研究,王大銘,13560,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/13560
博士專題研究,諶玉真,54085,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/54085
博士專題研究,蔡偉博,10889,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/10889
博士專題研究,戴子安,21018,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/21018
博士專題研究,林祥泰,48434,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/48434
博士專題研究,徐振哲,51046,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/51046
博士專題研究,吳嘉文,56159,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/56159
博士專題研究,吳哲夫,41693,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/41693
博士專題研究,謝之真,20737,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/20737
博士專題研究,廖英志,41983,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/41983
博士專題研究,陳賢燁,56608,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/56608
博士專題研究,游佳欣,50492,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/50492
博士專題研究,趙  玲,14920,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/14920
博士專題研究,康敦彥,59366,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/59366
博士專題研究,游琇伃,37567,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/37567
博士專題研究,闕居振,26881,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/26881
博士專題研究,游文岳,33903,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/33903
博士專題研究,李奕霈,34914,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/34914
博士專題研究,吳台偉,46180,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/46180
博士專題研究,余柏毅,42568,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/42568
博士專題研究,歐德理,35982,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/35982
博士專題研究,杜育銘,54694,ChemE8001,524D8000,必修,,,,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/54694
博士論文,,50655,ChemE8999,524D0010,必修,,,,1 類,,0,,https://course.ntu.edu.tw/courses/114-2/50655
服務學習甲,蔡  瑜,59898,CHIN0006,101001G0,必修,,一 5,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/59898
服務學習甲,陳志信,23872,CHIN0006,101001G0,必修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/23872
服務學習乙,黃奕珍,17563,CHIN0007,101001H0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/17563
服務學習乙,謝佩芬,53832,CHIN0007,101001H0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-2/53832
國學導讀下,史甄陶,40582,CHIN1004,10114102,必帶,,"一 3,4",普401,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/40582
國學導讀下,羅聖堡,23325,CHIN1004,10114102,必帶,,"一 3,4",普301,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/23325
文學概論下,陳昭瑛,11881,CHIN1006,10118102,必帶,,"五 6,7",普202,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/11881
文學概論下,潘少瑜,10324,CHIN1006,10118102,必帶,,"五 6,7",普205,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/10324
語言學概論甲下,巫雪如,48540,CHIN1008,101212A2,必帶 / 選修,,"三 3,4",普402,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/48540
語言學概論甲下,巫雪如,52059,CHIN1008,101212A2,必帶 / 選修,,"四 3,4",普202,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/52059
現代詩選下,劉正忠,57686,CHIN1014,10127702,必修,,"二 6,7",普303,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/57686
音樂作品欣賞二,蔡世豪,14613,CHIN1050,10128320,,,"四 3,4",外教劇場,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/14613
音樂作品欣賞二,蔡世豪,46117,CHIN1050,10128320,,,"四 6,7",外教劇場,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/46117
中國歷史與文化下,楊芳燕,37147,CHIN1064,10114202,必帶,,"五 6,7",綜502,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/37147
華語口語與表達,竺靜華,21828,CHIN1068,10119780,選修,,"一 6,7",共202,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/21828
近現代文學史下,高嘉謙,11370,CHIN1072,10118702,必修,,"二 6,7",普501,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/11370
大學國文：先秦兩漢文選下,丁  亮,01065,CHIN1084,10181012,必帶,,"一 7,8,9",文18,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/01065
大學國文：先秦兩漢文選下,張素卿,01066,CHIN1084,10181012,必帶,,"一 7,8,9",文16,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/01066
大學國文：文言文導讀下,簡凱廷,01067,CHIN1086,10181022,必帶,,"一 7,8,9",普505,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/01067
人文科技的交響：新趨勢與新素養（二）,鄭毓瑜,33291,CHIN1100,10111240,,,"四 7,8,9",博雅301,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/33291
中國經典與現代文明,梅家玲,54527,CHIN1103,10111260,,,"五 3,4,5",普404,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/54527
佛教．禪與人生,羅鈴沛,49992,CHIN1107,10111280,,,"一 7,8,9",綜404,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/49992
文字學乙下,林宏佳,10471,CHIN2002,101211B2,必帶,,"四 3,4",普306,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/10471
文字學乙下,張宇衛,20161,CHIN2002,101211B2,必帶,,"三 3,4",普405,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/20161
中國文學史下,黃奕珍,35134,CHIN2004,10125102,必帶,,"四 7,8,9",普302,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/35134
中國文學史下,吳旻旻,53031,CHIN2004,10125102,必帶,,"四 7,8,9",普303,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/53031
歷代文選及習作下,劉柏正,22429,CHIN2006,10126002,必帶,,"二 3,4",普306,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/22429
歷代文選及習作下,陳志信,15248,CHIN2006,10126002,必帶,,"二 5,6",普306,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/15248
詩選及習作甲下,李文鈺,54936,CHIN2008,101271A2,必帶,,"二 8,9",共305,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/54936
詩選及習作甲下,歐麗娟,23150,CHIN2008,101271A2,必帶,,"二 8,9",普202,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/23150
詞選及習作下,劉少雄,35701,CHIN2018,10137402,必修,,"二 8,9",普303,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/35701
小說選下,康韻梅,38634,CHIN2020,10136202,必修,,"四 8,9",普203,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/38634
戲曲選下,汪詩珮,55969,CHIN2022,101373B2,必修,,"五 6,7",普306,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/55969
尚書甲下,曹美秀,19584,CHIN2026,101322A2,必修,,"二 3,4",共207,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/19584
詩經甲下,林宏佳,32876,CHIN2028,101321A2,必修,,"四 8,9",普401,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/32876
禮記甲下,黃啟書,28600,CHIN2030,101323A2,必修,,"二 1,2",普205,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/28600
左傳乙下,李隆獻,30397,CHIN2032,101222B2,必修,,"三 8,9",文17,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/30397
史記甲下,張素卿,54644,CHIN2036,101255A2,必修,,"二 3,4",普505,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/54644
莊子甲下,徐聖心,50049,CHIN2038,101332A2,必修,,"二 3,4",普205,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/50049
荀子甲下,陳昭瑛,34726,CHIN2040,101334A2,必修,,"五 8,9",普202,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/34726
楚辭甲下,吳旻旻,23717,CHIN2042,101372A2,必修,,"五 3,4",普204,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/23717
中國園林文學,曹淑娟,40470,CHIN2070,10118500,選修,,"一 7,8,9",普402,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/40470
世說新語下,趙飛鵬,50818,CHIN2144,10136402,必修,,"二 6,7",普304,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/50818
稼軒詞,劉少雄,49644,CHIN2151,101376A0,選修,,"三 3,4,5",普201,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/49644
中國古代藏書史,趙飛鵬,57221,CHIN2180,10144200,選修,,"二 8,9",普304,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/57221
國學概說下,狄君宏,49849,CHIN2226,10122702,必帶,,"三 3,4",普501,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/49849
老子甲下,丁  亮,27802,CHIN2233,101331A2,必修,,"一 3,4",普403,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/27802
中國文學史概說二,蔡祝青,47050,CHIN2238,10124920,必修,,"四 7,8,9",博雅206,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/47050
臺灣社會與文化,高嘉謙,21667,CHIN2282,10122920,必帶 / 選修,,"一 3,4,5",普204,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/21667
中國文學史下,葉叡宸,36830,CHIN2286,10125112,必帶,,"四 5,6",普403,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/36830
聲韻學甲下,李存智,36387,CHIN3002,101311A2,必帶,,"一 3,4",普201,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/36387
聲韻學甲下,徐芳敏,36978,CHIN3002,101311A2,必帶,,"一 3,4",文17,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/36978
中國思想史下,蔡振豐,13980,CHIN3004,10141202,必帶,,"三 2,3,4",普403,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/13980
中國思想史下,徐聖心,11717,CHIN3004,10141202,必帶,,"三 2,3,4",普303,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/11717
中國文學史二下,劉柏正,31711,CHIN3010,10125222,必帶,,"四 6,7",普305,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/31711
歷代詩選下,佘筠珺,28116,CHIN3016,10134002,必帶,,"二 3,4",普401,2 類,,2,,https://course.ntu.edu.tw/courses/114-2/28116
謝靈運詩,蔡  瑜,13204,CHIN3020,10135800,選修,,"一 7,8,9",普201,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/13204
