課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
專題研究一,賴喜美,12308,AC4012,603 49610,選修,農業化學系,,,2 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/12308
專題研究一,蘇南維,43291,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/43291
專題研究一,王尚禮,24985,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/24985
專題研究一,施養信,19493,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/19493
專題研究一,羅凱尹,38055,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/38055
專題研究一,盧  毅,59608,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/59608
專題研究一,黃玉萍,17856,AC4012,603 49610,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/17856
專題研究二,賴喜美,38944,AC4013,603 49620,選修,農業化學系,,,2 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/38944
專題研究二,王尚禮,39209,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/39209
專題研究二,施養信,21303,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/21303
專題研究二,徐駿森,51470,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/51470
專題研究二,盧  毅,31697,AC4013,603 49620,選修,農業化學系,,,1 類,中文授課,2,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",重複修習不計入畢業學分。,,https://course.ntu.edu.tw/courses/114-2/31697
專題研究與討論,盧  毅,38930,AC4019,603 49130,必帶,農業化學系,"二 8, 9",,1 類,中文授課,1,60,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與吳蕙芬、賴喜美、蘇南維、洪傳揚、林乃君、徐駿森、陳佩貞、施養信、羅凱尹、王尚禮、陳宜龍、黃玉萍合授,,https://course.ntu.edu.tw/courses/114-2/38930
學士論文下,賴喜美,46482,AC4024,603 49502,選修,農業化學系,,,2 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-2/46482
學士論文下,洪傳揚,19897,AC4024,603 49502,選修,農業化學系,,,1 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-2/19897
學士論文下,盧  毅,47795,AC4024,603 49502,選修,農業化學系,,,1 類,中文授課,1,5,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",須經指導教授同意。為全學年課程。,,https://course.ntu.edu.tw/courses/114-2/47795
食品化學二,蘇南維,24544,AC5007,623 U0530,必修,農業化學系,"一 6, 7",,3 類,中文授課,2,70,"Students enrolled in this course participate in at least 90 hours corporate internships at corporate sites and/or private research establishments to study corporate culture in Taiwan. Internship sites are chosen from either selected companies holding written agreements with the university, or other sites selected by the student and approved by the relevant program committee. Each student should submit a statement of purpose and a CV to the course coordinator. Based on student’s interest, GIP faculty will work with them in submitting internship applications. The focus for each intern will be decided after interview with selected companies and institutions. Following their internships, students should complete a report regarding the experience and present a public talk accordingly.","1.Students will be able to survey companies and industries for internship, and to participate corporate internships. 
2.Students will be able to make a presentation that summarizes their internship experience and what they have learned from it. 
3. Students will be able to give consideration to issues related to Food and Health and the relationship between R & D and social demands related to those issues. 
4.Students will be able to consider their own personality and preferences in relation to their internship experience, and connect it to their career pathway formation accordingly.","For 2nd year Master’s program in Agro-Biomedicine (GIP-TRIAD). To register in this course, we will offer introductory lectures for internship in the first few weeks. Then, together with the instructor, students will contact companies/industries for internship opportunity. To register in this course, please first contact the main instructor.","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。本課有先修規定。與賴喜美、黃玉萍合授",,https://course.ntu.edu.tw/courses/114-2/24544
