課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
微算機應用,趙福杉,32842,DBME5010,528 U0050,選修,醫學工程學系 / 醫學工程學研究所,,展書樓506,2 類,中文授課,3,12,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","初選不開放。本課程中文授課,使用英文教科書。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/32842
電腦輔助設計與製造,施博仁,36555,DBME5016,528 U0140,選修,醫學工程學系 / 醫學工程學研究所,,,3 類,中文授課,3,25,本課程旨在介紹電腦輔助設計 (CAD) 與製造 (CAM) 的核心原理及其在生物醫學工程中的應用。課程內容涵蓋從基礎的幾何建模、參數化設計，到進階的醫療影像逆向工程（CT/MRI 轉 3D 模型）。特別的是，本課程導入「未來思考 (Future Thinking)」框架，引導學生不僅解決現有的臨床問題，更能預判 2030-2040 年的醫療情境。 學生將學習利用數位工具進行醫療產品（如：骨科植入物、個人化復健輔具、手術導板）的研發，並探討積層製造 (3D Printing) 在未來「分散式醫療製造」趨勢下的角色。透過對人口結構老化、遠距醫療與永續生醫材料等未來變數的掃描，學生將學習如何設計出具備長期韌性且符合未來社會需求的醫療解決方案。,"1. 數位雙生與精準醫療：掌握轉換為 CAD 模型技術，達成符合未來個人化醫療趨勢的精準設計。
2. 未來設計思維：具備預判未來醫療場景的能力，能運用「回溯法 (Backcasting)」從未來需求推演當前的設計參數。
3. 實體製造與力學優化理解積層製造對複雜幾何結構的解放，利用最佳化設計出兼具輕量化與高強度的結構，並評估未來列印醫材的臨床力學表現與倫理規範。
4. 結構力學與機構穩定 (Structural Mechanics & Stability) 將結構力學知識引用到機構設計中，透過受力路徑分析與材料力學計算，確保醫療機構在臨床動態環境下的設計穩定性、疲勞強度與操作安全性。
5. 團隊創新：不只設計「零件」，而是設計出能融入未來數位醫療生態系（結合感測器、物聯網）的系統性醫材。","課堂參與：本課程包含大量的電腦實作練習，學生須出席並完成每週的實驗進度。
期中專案：評估基礎建模技能與零件設計邏輯。
期末專案 (Capstone Project)：小組合作設計一項具備臨床價值的醫材原型，並提交設計文件與數位模型（鼓勵輸出 3D 實體）。
背景知識：建議具備基礎工程力學或生物力學觀念（非強制，但有助於模擬分析）。","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課教室：永齡522。碩博班可修習。與宋玫玫合授",預期每週課前後學習時數	5-7 小時（含軟體練習、模型建構與專案討論）,https://course.ntu.edu.tw/courses/114-2/36555
感覺神經生理,趙福杉,42460,DBME5025,528 U0540,選修,醫學工程學系 / 神經生物與認知科學學程 / 醫學工程學研究所,,展書樓506,2 類,中文授課,3,15,"課程介紹人體主要感覺系統其神經生理性質，如觸覺、痛覺、溫度覺、聽覺及視覺等。主要簡介感覺神經的基本結構與功能及其特性。
本學期授課內容異動:新增指定閱讀Textbook of pain, SB McMahon & M Koltzendurg",增進對感覺神經生理與其特性之瞭解，認識各種不同感覺神經生理的特質以及對於研究感覺神經生理的重要性。,上課前請先預習內容,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","初選不開放。本課程中文授課,使用英文教科書。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/42460
生醫光電導論,程子翔,18842,DBME5031,528 U0180,選修,醫學工程學系 / 醫學工程學研究所,,,2 類,英文授課,3,25,"課程分為兩部分：
一、	光電原理、現象、元件、系統之簡介。
二、	生醫光電應用簡介：如醫學影像、光學影像等。","一、	認識光電原理、現象、元件、系統之原理。
二、	認識各種生醫光電之應用如顯微鏡、光譜學、醫學影像、超解析影像等。
三、	練習學術寫作，包含資料查找、撰寫研究計畫及同儕審查。",,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。上課教室：永齡439。碩博班可修習。與朱麗安、楊東霖、鄭宇翔、李翔傑、宋孔彬合授,課後學習：每周6小時,https://course.ntu.edu.tw/courses/114-2/18842
醫用電子系統設計,趙福杉,30576,DBME5032,528 U0530,選修,醫學工程學系 / 醫學工程學研究所,,展書樓506,2 類,中文授課,3,12,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","初選不開放。本課程中文授課,使用英文教科書。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/30576
放射治療原理與應用,梁祥光,49857,DBME5035,528 U0210,選修,醫學工程學系 / 醫學工程學研究所,,,2 類,中文授課,3,25,"你知道放射線如何治療癌症嗎? 你知道放射線可以應用在那些產業? 具備輻射科學專業對未來就業有何幫助? 放射治療包含放射生物、醫學物理、影像醫學與癌症治療。透過課程跨領域課程內容設計，幫助學生了解醫學工程在癌症放射治療的發展與應用。

本課程為「臺大精準醫學推動中心」合作課程與「放射診斷、核子醫學與放射治療」領域專長課程。","認識
1. 放射治療原理、設備、流程
2. 常見癌症放射治療
3. 輻射科學產業發展",大三、四或碩博士生 (外系同學欲加選請於第一次上課經老師同意後取授權碼)。建議先修習「人體解剖學」、「醫學影像系統原理」。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課教室：永齡402。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/49857
生醫感測器,林宗宏,16402,DBME5037,528 U2010,選修,醫學工程學系 / 醫學工程學研究所,,,2 類,英文授課,3,40,"本課程將會從科學及工程的角度來教授學生有關生醫感測器的特性。內容將涵蓋功能性材料的主要類別，以及對當前元件種類和工作原理的實際回顧，特別是在多種不同感測上的應用。

This course introduces the fundamental properties of biomedical sensors from both scientific and engineering perspectives. The course covers the major classes of functional materials and provides a practical overview of current sensor device types and their working principles, with particular emphasis on their applications across diverse sensing modalities.","學生透過此課程的學習，將會了解生醫感測器特有的性質及目前發展中的應用，使學生具備充分的背景知識，應用在相關技術及產品的研發上。

Through this course, students will gain an understanding of the unique characteristics of biomedical sensors and their emerging applications. This training equips students with a solid foundational background, enabling them to apply their knowledge to the development of related technologies and products.","普通化學和普通物理

General Chemistry and General Physics","40%	

Midterm Exam

Course content


30%	

Literature Report

Select the latest Journal Paper related to Biomedical Sensors and report it


30%	

Final Exam

Course content

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。碩博班可修習。,,https://course.ntu.edu.tw/courses/114-2/16402
機器學習在人體動作分析之應用,呂東武,58345,DBME5040,528 U1050,選修,醫學工程學系 / 醫學工程學研究所,,,2 類,中文授課,3,15,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課教室：永齡439。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/58345
醫用微感測器,林啟萬,56317,DBME5042,528 U0630,選修,醫學工程學系 / 奈米工程與科學碩士學位學程 / 奈米工程與科學博士學位學程 / 生醫電子與資訊學研究所 / 醫學工程學研究所,,,2 類,英文授課,3,20,"The continuous developments in genomics, proteomics, and metabolomics will help to drive the use of micro/nano sensor technologies for personalized medicine or companion medicine. This course aims to provide the necessary background knowledge for multi-disciplinary students on both sides of medical applications and engineering approaches. Both physical-based and bio-chemical-based micro-sensors will be covered in the lectures.","1.	Prepare students for the multi-disciplinary natures of micro-sensors with physical & chemical fundamentals. 
2.	Design and fabrication processes of integrated sensor systems for clinical applications. 
3.	Critical assessments of the static and dynamic performance of biomedical sensors.","1. General background in Physics, Biology, and Engineering Mathematics.
2.Reading assignments before each class and participate in active discussion.
3. Homework assignment","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。上課教室：永齡414。碩博班可修習。,,https://course.ntu.edu.tw/courses/114-2/56317
生醫機械系統之最佳化,呂東武,56714,DBME5043,528 U0910,選修,醫學工程學系 / 醫學工程學研究所,,永齡414。碩博班可修習。,2 類,中文授課,3,15,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課地點：永齡414。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/56714
進階顯微影像技術,朱麗安,49408,DBME5047,528 U2060,選修,醫學工程學系 / 醫學工程學研究所,,,2 類,中文授課,2,15,本課程介紹光學影像與顯微鏡技術的基礎原理與實務應用，內容涵蓋從傳統非螢光顯微鏡、共軛焦、雙光子到層光與超解析顯微鏡等多種成像技術。學生將學習光路設計、硬體組裝、以及以 LabVIEW 與 SolidWorks 為基礎的系統自動化軟體設計方法。課程同時包含電子顯微鏡、組織澄清與膨脹顯微術、樣品製備及三維影像視覺化的基礎。進階部分將引入以人工智慧進行顯微影像分析之應用。課程結合理論講授與實作訓練，協助學生從光學原理、系統建構到影像分析建立完整之顯微影像學知識架構。,".理解光學顯微影像形成的基本原理與解析度限制。
.認識各類光學顯微鏡（共軛焦、雙光子、層光、超解析等）之特性與應用情境。
.熟悉自動化顯微系統之光路設計與硬體組裝流程。
.掌握基本軟體設計工具（LabVIEW、SolidWorks）以建構控制介面與系統模擬。
.了解螢光樣品、免疫染色、組織澄清及膨脹顯微術等樣品處理流程。
.能進行三維影像重建與可視化分析。
.初步應用人工智慧工具進行顯微影像辨識與定量分析。
.具備設計與操作自動化光學顯微系統的基礎能力，能應用於生醫影像研究與工程實務。",無，但具備光學相關背景者為佳,"40%	

期中考

筆試、中英文合併出題


40%	

期末考

筆試、中英文合併出題


20%	

期中作業

形態不定

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",上課教室：永齡439。碩博班可修習。,,https://course.ntu.edu.tw/courses/114-2/49408
專題研究,楊台鴻,57586,DBME7002,528 M0040,選修,醫學工程學研究所 / 神經生物與認知科學學程,,,1 類,中文授課,1,20,專題研究,指導碩士班學生專題研究,自動自發,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/57586
專題研究,王兆麟,47994,DBME7002,528 M0040,必修,醫學工程學研究所,,,2 類,中文授課,1,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/47994
專題研究,呂東武,21847,DBME7002,528 M0040,選修,醫學工程學研究所 / 職能治療學研究所,,,2 類,中文授課,1,20,"關節及韌帶生物力學 Mechanics joint and ligament
下肢生物力學 Biomechanics of lower limb
上肢生物力學 Biomechanics of upper limb
人工關節設計、分析與評估 Joint replacement design, analysis and evaluation
步態分析理論與實驗方法及臨床應用 Gait analysis theory and clinical applications
整合醫學影像及電腦輔助動作分析研究 Integration of medical images and computer graphics assisted motion analysis
復健運動之研究 Rehabilitation exercises research
復健器材與評估設備之研發 Development and research on rehabilitation devices
正常顳顎關節之動作分析 Movement Analysis of normal temporomandibular joint
醫學影像處理及電腦繪圖Integration of medical images and computer graphics assisted motion analysis",專題與研究進度之討論,每週進度報告和seminar，增進研究的深度與能力,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","職治所 本課程中文授課,使用英文教科書。
醫工所 本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/21847
專題研究,林啟萬,35129,DBME7002,528 M0040,必修,醫學工程學研究所,,,2 類,英文授課,1,20,"進行醫學工程相關研究
1. 生醫晶片
2. 神經元晶片
3.微流道設計
4. 光學量測系統
5. 神經網路","待補訓練學生文獻閱讀整理報告之能力
訓練學生實驗設計資料整理解讀之能力
訓練學生臨場反應與答詢之能力
訓練學生提問之技巧與重點思考模式","以三張簡報檔為限於每周日晚上12點前上傳周進度報告
以五頁文字檔為限於每月30日晚上12點前上傳月進度報告
學期末期末考周結束當周周四晚上12點前上傳學期進度報告","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。本課程以英語授課。上課時間與地點請詢問授課教師。限碩士班。,,https://course.ntu.edu.tw/courses/114-2/35129
專題研究,趙福杉,46756,DBME7002,528 M0040,選修,醫學工程學研究所 / 神經生物與認知科學學程,,,1 類,中文授課,1,20,"歡迎對生醫電子有興趣的同學加入我們的團隊。參與的同學將有機會實際獲得下述領域之相關專業知識與實作經驗：
1.微算機應用(數位)
2.電子電路設計(類比)
3.電生理信號記錄
4.臨床生理信號分析",經由此課程之實作訓練與群組討論，同學應在醫用電子系統設計、生醫信號分析具有整體性之觀念，並也培養一起合作及共同解決問題之能力，達成學以致用之目標。希望能提供給最優秀的學生最棒的訓練。,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/46756
專題研究,陳中明,36948,DBME7002,528 M0040,必修,醫學工程學研究所,,,1 類,中文授課,1,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/36948
專題研究,劉浩澧,37296,DBME7002,528 M0040,選修,醫學工程學研究所 / 神經生物與認知科學學程,,,3 類,中文授課,1,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/37296
專題研究,林宗宏,41176,DBME7002,528 M0040,必修,醫學工程學研究所,,,3 類,中文授課,1,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/41176
專題研究,林靜嫻,28626,DBME7002,528 M0040,必修,醫學工程學研究所,,,3 類,中文授課,1,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/28626
專題研究,朱麗安,52576,DBME7002,528 M0040,必修,醫學工程學研究所,,,3 類,中文授課,1,20,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/52576
專題研究,周資傑,27873,DBME7002,528 M0040,必修,醫學工程學研究所,,,3 類,中文授課,1,20,"專題研究為醫學工程研究所碩士班學生在學期間每學期必修課程，惟學期中提前畢業者得申請停修。
研究生依本校學生交換計畫或科技部、教育部補助之出國進修；或指導教授合作計畫出國研習者，於出國進修期間仍應修習「專題研究」並由指導教授決定評分方式。","與指導老師一同進行專題研究。
擬定論文計畫初稿(必須於論文考試前4個月通過初審)。
論文計畫內容：	
1. 論文標題
2. 計畫緣由、目的與重要性
3. 參考文獻
4. 論文綱要
5. 初步結果與討論
6. 可能遭遇的困難與解決方法",需與指導老師討論研究進度以評量研究產出。,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課時間與地點請詢問授課教師。限碩士班。",由師生雙方議定。,https://course.ntu.edu.tw/courses/114-2/27873
醫學工程專題討論,周資傑,31319,DBME7003,528 M0050,必修,醫學工程學研究所,,基醫302室。限碩士班。,3 類,中文授課,1,160,"本課程會邀請學界與業界專業人士，至本系與老師、學生進行近距離的演講與討論。
上課地點：基醫302講堂","依據本校的教育目標，本課程期盼能使修課學生培養以下之核心能力：
(1)獨立思考與創新
(2)專業知能
(3)道德思辨與實踐
(4)身心健康管理
(5)人文關懷
(6)國際視野
並透過各領域之講者所帶來的內容，達到思維創新，培養多元化的視野","課程評分方式 
1.	基本分80，全勤加總分2分，曠課一次扣總分5分，請假至多2次。 
a.	請假需事先繳交請假單並經指導教授簽名同意 (請見附件一)，若請假超過2次，每次扣總分1分。 
b.	「全勤」係指本學期授課期間（2/24-6/2）沒有遲到早退、請假、缺曠課紀錄者。 
2.	點名須在教室內完成，課後不可補點，抽點不到者視同曠課。代點名者視同偽造文書，當事人雙方本科目以不及格計算，並逕送教規會懲處。 
3.	修課學生就來賓演講內容繳交3份報告，由來賓演講中任選3次，並於5日內自行上網至NTU COOL作業區繳交心得報告，每篇報告成績以 +5 ~ -5分計算，沒交報告者扣10分，溢交報告者，以最高分計算。
4.	提問：針對來賓演講或學生報告內容提問，每次提問加學期成績一分，5分為上限。（提問單請見附件二） 
5.	學生口頭報告: 
a.	報告順序於本校行事曆「網路退選課程截止日」(3/2)算起，一週內公布。 
b.	若遇到來賓演講日期臨時異動，學生口頭報告日期將視情況機動調整。 
c.	博班生報告時間為12分鐘，碩班生報告時間為8分鐘。 
d.	學生口頭報告日期更換以一次為限，需自行協調對調人選，若未報告或未依公告時間將檔案上傳至NTU COOL者，本科目以不及格計算。（報告日期異動單請見附件三） 
e.	本系學生畢業前均需於本課程上台報告一次，標記「*」者表示需上台報告，但未選修本課，待需補上台報告：許芷菱、謝宗廷、盧安妮*。","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課地點：基醫302室。限碩士班。",,https://course.ntu.edu.tw/courses/114-2/31319
高分子材料分析,楊台鴻,31824,DBME7009,528 M0140,選修,醫學工程學研究所,,,3 類,中文授課,3,20,"1.高分子材料基本性質之物理分析。 
2.常見高分子材料分析之儀器。 
3.分析高分子與細胞間的交互作用反應。 
4. ISO，CNS，FDA，TFDA相關法規。 
5.相關paper導讀。 
6. 醫材申請查驗登記流程實務操作。","培養醫用高分子之設計、合成與作用機制探討能力，深化材料分析儀器之原理理解與操作技術，強化數據解析、實驗設計與研究整合能力，提升學生獨立研究與創新應用發展之專業素養。

This course aims to develop students’ ability to design and apply biomedical polymeric materials while understanding the fundamental principles, instrumentation, and analytical methods used for polymer characterization. Students will learn how to select appropriate analytical techniques, interpret material properties, and integrate polymer science concepts into biomedical applications such as drug delivery systems, tissue engineering scaffolds, and medical devices. Emphasis will be placed on linking theoretical foundations with practical laboratory analysis to strengthen research and development competence in biomedical materials.",自動自發,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。上課教室：基醫507室。碩博班可修習。",,https://course.ntu.edu.tw/courses/114-2/31824
數學在醫工上之應用下,程子翔,13966,DBME7032,528 M0552,必修,醫學工程學研究所,,永齡館421教室。,3 類,英文授課,3,30,本課程開設在博士班，給非工程背景的博士生修課為主。課程內容結合工程數學的實際理論，並輔以醫學工程上之實例，將工程上常見的問題，轉化以數學模型的計算方式獲得結果。,本課程目標期望學生能善用數學方法，包含數學方程式的建立，工程模型的數學化，邊界條件和起始條件的設定，以及計算分析，解決醫學工程上的問題。期望修畢課程的同學短期能進行工程數學問題的運算，中期須針對自身所研究的醫學問題，建立適合的數學模型，並使用數學方法，提出解決方案，最終獲得計算結果。,微積分、數學在醫工上之應用上,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。上課地點：永齡館421教室。,課後6小時,https://course.ntu.edu.tw/courses/114-2/13966
超音波於神經科學應用專題研究,王兆麟,55882,DBME7068,528 M1870,選修,醫學工程學研究所,,展書樓606室。碩博班可修習。,2 類,中文授課,3,20,超音波已廣泛的應用於醫學影像與治療。一般而言，用於影像之超音波能量較低，用於治療之能量則較高。就治療而言，低能量超音波則用來做為骨骼肌肉系統之物理治療，高能量超音波可用來產生熱能燒灼腫瘤。臨床上亦使用低能量用於骨癒合治療，較高的能量則用來作為受傷韌帶、肌肉與肌腱之物理治療。低能量超音波可以促進骨形成激素，可以在骨折癒合或骨痂延長時增快骨質再生，所以可促進骨折癒合與骨質增生速度，超音波會影響在骨癒合時的相關細胞，例如造骨細胞、嗜骨細胞、軟骨細胞以及間葉幹細胞等等。此外超音波近來亦用於治療癌症、打開血腦屏障或組織再生工程，其潛在應用非常廣泛。本課程之目的在於介紹超音波基本原理，對細胞的生物力學影響，以及其潛在臨床應用。,了解低能量超音波對細胞的力學影響與臨床應用。,已修習過超音波與細胞生物學等相關課程。,"100%	

期末報告與參與態度	

1. 評分方法：除了出席課程與參與討論外，學生的作業為作業與期末報告，報告之呈現視情況含書面與口頭報告兩種，成績之配比於期末視份量決定。

2. 準時出席，上課鈴響或老師開始演講之後，尚未進入教室領名牌、坐定位者，算缺席。若因不可抗力之事由，無法出席，請於事先或事後依規定請假並說明理由，全學期經核可之請假，以三次為限。無故缺席或超過三次核可之請假，每一次缺席或請假，期末成績降一級，例如，A+變A，A-變B+，C變C-等等。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","初選不開放。本課程中文授課,使用英文教科書。上課地點：展書樓606室。碩博班可修習。",視同學情況,https://course.ntu.edu.tw/courses/114-2/55882
生理與解剖在醫工之應用二,林頌然,21991,DBME7094,528 M1440,選修,醫學工程學研究所,,基醫大樓504室。與黃韻如、梁祥光合授,3 類,英文授課,3,30,"此課程在於讓修習的學生認識基本人體生理及相關解剖構造,並瞭解在學工程研究上及床之應用。
內容包括
a.體溫及代謝調控
b.內分泌系統之解剖及調控
c.生殖系統之解剖與生理
d.呼吸系統之解剖與生理
e.消化系統之解剖與生理
f.中樞及週邊神經系統之解剖與生理
g.特殊感覺受體之解剖與生理
h.血球及血液凝固之生理
i.運動生理",幫助學生了解人體生理與結構現象,無,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。上課地點：基醫大樓504室。與黃韻如、梁祥光合授,,https://course.ntu.edu.tw/courses/114-2/21991
細胞分子生物學,趙本秀,23964,DBME7099,528 M1540,選修,醫學工程學研究所,,工綜B03教室。碩博班可修習。,2 類,英文授課,3,12,Basic cell and molecular biology and engineering applications in these fields,Basic understanding of cell and molecular biology with a particular emphasis on engineering techniques,"General Physics, Chemistry, and Biology
普通物理、普通化學、普通生物","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",本課程以英語授課。上課地點：工綜B03教室。碩博班可修習。,,https://course.ntu.edu.tw/courses/114-2/23964
碩士論文,,35588,DBME7999,528 M0010,必修,醫學工程學研究所,,,1 類,中文授課,0,100,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/35588
博士專題研究,楊台鴻,23261,DBME8001,528 D0020,必修,醫學工程學研究所,,,1 類,中文授課,1,30,博士專題研究,指導博士生之專題研究,自動自發,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/23261
博士專題研究,王兆麟,53916,DBME8001,528 D0020,必修,醫學工程學研究所,,,2 類,中文授課,1,30,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/53916
博士專題研究,呂東武,19759,DBME8001,528 D0020,必修,醫學工程學研究所,,,2 類,中文授課,1,30,"關節及韌帶生物力學 Mechanics joint and ligament 
下肢生物力學 Biomechanics of lower limb 
上肢生物力學 Biomechanics of upper limb 
人工關節設計、分析與評估 Joint replacement design, analysis and evaluation 
步態分析理論與實驗方法及臨床應用 Gait analysis theory and clinical applications 
整合醫學影像及電腦輔助動作分析研究 Integration of medical images and computer graphics assisted motion analysis 
復健運動之研究 Rehabilitation exercises research 
復健器材與評估設備之研發 Development and research on rehabilitation devices 
正常顳顎關節之動作分析 Movement Analysis of normal temporomandibular joint 
醫學影像處理及電腦繪圖Integration of medical images and computer graphics assisted motion analysis",專題與研究進度之討論,每週進度報告和seminar，增進研究的深度與能力,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","本課程中文授課,使用英文教科書。",,https://course.ntu.edu.tw/courses/114-2/19759
