課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
服務學習甲,陳宜龍,15338,AC0006,603001G0,必帶,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/15338
服務學習乙,王尚禮,45451,AC0007,603001H0,必帶,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/45451
農業化學導論,陳宜龍,49129,AC2001,60320100,必帶,,五 6,共104,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/49129
土壤學,許正一,38083,AC2003,60321100,必帶 / 必修,,"二 3,4",新505,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/38083
土壤學,王尚禮,24442,AC2003,60321100,必帶 / 必修 / 選修,,"二 3,4",農藝112,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/24442
土壤學實驗,許正一,20085,AC2004,60321200,必帶,,"二 7,8,9",農化二211,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/20085
土壤學實驗,許正一,50996,AC2004,60321200,必帶,,"一 2,3,4",農化二211,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/50996
土壤學實驗,許正一,56481,AC2004,60321200,必帶 / 選修,,"一 7,8,9",農化二211,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/56481
土壤學實驗,許正一,44183,AC2004,60321200,必帶 / 選修,,"四 3,4,5",農化二211,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/44183
土壤化學,王尚禮,23335,AC3002,60331000,必修 / 選修,,"三 3,4",農化一第六-1,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/23335
植物生理學,盧  毅,58660,AC3007,60332710,必修,,"三 3,4",農化二B10,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/58660
環境微生物學,林乃君,15047,AC3009,60333100,必修,,"四 3,4",農化二B10,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/15047
環境微生物學實驗,林乃君,21045,AC3010,60333200,選修,,"一 8,9,10",農化二110-1,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/21045
分子生物學,羅凱尹,32782,AC3037,60333630,必帶,,"五 2,3,4",普406,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/32782
專題研究一,徐駿森,26526,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/26526
專題研究一,羅凱尹,46261,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/46261
專題研究一,盧  毅,38407,AC4012,60349610,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/38407
專題研究二,顏瑞泓,95085,AC4013,60349620,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/95085
專題研究二,蘇南維,30848,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/30848
專題研究二,王尚禮,11808,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/11808
專題研究二,施養信,24288,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/24288
專題研究二,洪傳揚,18874,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/18874
專題研究二,陳佩貞,16600,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/16600
專題研究二,羅凱尹,10756,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/10756
專題研究二,陳宜龍,58765,AC4013,60349620,選修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/58765
專題討論,徐駿森,25574,AC4015,60349100,必修,,"二 8,9",農化二B10,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/25574
校外實習,賴喜美,50672,AC4020,60348810,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/50672
學士論文上,賴喜美,35748,AC4023,60349501,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/35748
學士論文上,洪傳揚,33403,AC4023,60349501,選修,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/33403
學士論文上,盧  毅,58401,AC4023,60349501,選修,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/58401
學士論文上,陳宜龍,36576,AC4023,60349501,選修,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/36576
食品加工學,蘇南維,32134,AC5008,623U0540,必修,,"四 1,2,6",農化一第六-1,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/32134
土壤化學分析,何聖賓,20590,AC5044,623U4080,選修,,"五 3,4",農化二106,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/20590
微生物生理學,陳宜龍,15981,AC5059,623U4270,選修,,"一 8,9",農化一第五,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/15981
植物生物技術概論,洪傳揚,19793,AC5063,623U4310,選修,,"四 8,9",農化二106,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/19793
分子辨識,徐駿森,50197,AC5066,623U4340,選修,,"三 8,9",農化一第五,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/50197
環境毒物學原理,陳佩貞,50372,AC5067,623U4350,選修,,"三 3,4",農化一第五,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/50372
土壤化學特論,許正一,49341,AC5068,623U4360,選修,,"一 10,A,B,C / 二 10,A,B,C / 三 10,A,B,C / 四 10,A,B,C / 五 10,A,B,C",,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/49341
微生物學特論,楊秋忠,48187,AC5085,623U4510,選修,,"四 2,3,4",農化二106,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/48187
食品分析,賴喜美,20632,AC5091,623U0400,必帶 / 必修 / 選修,,"一 3,4",農化二B10,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/20632
食品分析實驗,賴喜美,36334,AC5092,623U0410,必帶 / 選修,,"二 6,7,8,9",農化二107,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/36334
食品分析實驗,賴喜美,21970,AC5092,623U0410,必帶 / 選修,,"四 6,7,8,9",農化二107,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/21970
食品化學一,蘇南維,34364,AC5098,623U5050,必修,,"一 6,7",農化二B10,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/34364
生物資訊學,陳宜龍,95082,AC5101,623U5080,選修,,"三 6,7",農化二106,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/95082
專題討論,洪傳揚,48862,AC7001,623M0030,必修,,"五 8,9",,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/48862
專題討論,吳蕙芬,44022,AC7001,623M0030,必修,,"五 8,9",農化一第五-1,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/44022
專題研究一,顏瑞泓,44865,AC7002,623M1010,必修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/44865
專題研究一,賴喜美,47390,AC7002,623M1010,必修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/47390
專題研究一,蘇南維,27025,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/27025
專題研究一,王尚禮,35840,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/35840
專題研究一,施養信,13151,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/13151
專題研究一,許正一,31899,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/31899
專題研究一,洪傳揚,51785,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/51785
專題研究一,徐駿森,50268,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/50268
專題研究一,吳蕙芬,25229,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/25229
專題研究一,陳佩貞,31285,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/31285
專題研究一,羅凱尹,59249,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/59249
專題研究一,盧  毅,42739,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/42739
專題研究一,陳宜龍,55846,AC7002,623M1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/55846
環境有機化學一,施養信,18699,AC7030,623M2920,選修,,"二 3,4",農化一第五,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/18699
農業化學儀器分析一,洪傳揚,21635,AC7032,623M1610,必修,,五 7,農化二B10,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/21635
碩士論文,,24277,AC7999,623M0010,必修,,,,1 類,,0,,https://course.ntu.edu.tw/courses/114-1/24277
專題討論,洪傳揚,41416,AC8001,623D0030,必修,,"五 8,9",農化二B10,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/41416
專題討論,羅凱尹,57932,AC8001,623D0030,必修,,"五 8,9",,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/57932
專題研究一,王尚禮,38274,AC8002,623D1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/38274
專題研究一,許正一,13617,AC8002,623D1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/13617
專題研究一,洪傳揚,57674,AC8002,623D1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/57674
專題研究一,林乃君,29796,AC8002,623D1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/29796
專題研究一,羅凱尹,15342,AC8002,623D1010,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/15342
專題研究三,王尚禮,10903,AC8004,623D1030,必修,,,,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/10903
服務學習甲,王全三,30020,Acc0006,702001G0,必修,,二 5,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/30020
服務學習甲,劉心才,20134,Acc0006,702001G0,必修,,二 5,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/20134
服務學習甲,黃祥宇,50755,Acc0006,702001G0,必修,,二 5,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/50755
服務學習甲,陳思帆,49262,Acc0006,702001G0,必修,,四 5,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/49262
