課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
服務學習甲,朱玉芳,14352,Acc0006,702001G0,必修,,四 5,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/14352
服務學習甲,黃盈綺,46713,Acc0006,702001G0,必修,,四 5,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/46713
服務學習甲,張文馨,30313,Acc0006,702001G0,必修,,五 6,,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/30313
服務學習乙,張文馨,29925,Acc0007,702001H0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/29925
服務學習乙,謝昇峯,16743,Acc0007,702001H0,選修,,,,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/16743
會計學甲一上,陳坤志,20436,Acc1003,70210111,必帶,,"一 A,B,C,D / 四 5,6",共105,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/20436
會計學甲一上,陳坤志,45987,Acc1003,70210111,必帶,,"一 A,B,C,D / 四 5,6",共203,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/45987
會計學甲一上,陳坤志,23850,Acc1003,70210111,必帶,,"一 A,B,C,D / 四 5,6",共201,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/23850
會計學甲一上,陳坤志,55970,Acc1003,70210111,選修,,"一 A,B,C,D / 二 5,6",共105,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/55970
會計學甲一上,陳坤志,17595,Acc1003,70210111,選修,,"一 A,B,C,D / 二 5,6",共301,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/17595
會計學甲一上,陳坤志,47276,Acc1003,70210111,選修,,"一 A,B,C,D / 三 5,6",共204,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/47276
會計學甲一上,陳坤志,15680,Acc1003,70210111,選修,,"一 A,B,C,D / 三 5,6",共205,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/15680
會計專業入門,廖珮真,44280,Acc1014,70210700,必帶,,"一 2,3,4",管二104,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/44280
會計專業入門,廖珮真,21516,Acc1014,70210700,必帶,,"一 2,3,4",,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/21516
民法概要乙,游啓璋,11736,Acc2009,702173B0,必帶,,"四 2,3,4",管二206,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/11736
商業應用軟體,王春笙,40779,Acc2012,70212020,選修,,"五 2,3,4",管一大電腦,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/40779
中級會計學上,吳淑鈴,50831,Acc2018,70220661,必修,,"二 2,3,4",管二202,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/50831
中級會計學上,王全三,10856,Acc2018,70220661,必修,,"一 A,B,C",管一101,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/10856
高等會計學上,黃盈綺,53725,Acc3001,70230101,必修,,"一 2,3,4",管二102,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/53725
高等會計學上,許文馨,29797,Acc3001,70230101,必修,,"五 7,8,9",管二305,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/29797
審計學上,陳思帆,46396,Acc3003,70240101,必修,,"一 7,8,9",管二205,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/46396
審計學上,朱玉芳,10218,Acc3003,70240101,必修,,"三 7,8,9",管二101,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/10218
管理會計與數據分析上,高偉娟,11141,Acc3015,70230501,必修,,"一 2,3,4",管二201,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/11141
管理會計與數據分析上,曾智揚,32214,Acc3015,70230501,必修,,"一 2,3,4",管二305,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/32214
稅務法規,陳衍任,47341,Acc4006,70240610,必修,,"二 7,8,9",管一103,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/47341
稅務法規應用,林世銘,30231,Acc4007,70240620,選修,,"三 10,A,B",管一101,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/30231
公司治理與財務報表,傅文芳,10079,Acc5012,722U7090,選修,,"一 7,8,9",管二101,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/10079
計量經濟,廖珮真,11703,Acc5022,722U6200,必修 / 選修,,"一 7,8,9",管二303,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/11703
產業、會計、審計、風險面面觀,徐聖忠,47865,Acc5039,722U3370,選修,,"四 7,8,9",管二305,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/47865
會計人國際稅務管理新思維,許志文,26226,Acc5042,722U5090,選修,,"四 7,8,9",管一405,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/26226
科技創新與會計實務,區耀軍,42389,Acc5049,722U4480,選修,,"二 7,8,9",管二304,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/42389
金融工具與保險合約之會計規範,蔡彥卿,33575,Acc5051,722U9040,選修,,"一 2,3,4",管二205,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/33575
財務會計理論,葉  疏,53428,Acc7001,722M1300,必修,,"三 2,3,4",管二302,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/53428
會計專業之法律個案研討,王全三,48498,Acc7012,722M1100,選修,,"五 A,B,C",管二研六,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/48498
企業價值管理與數據分析,劉順仁,55690,Acc7017,722M1010,必修,,"五 2,3,4",管一102,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/55690
碩士論文,,27705,Acc7999,722M0010,必修,,,,1 類,,0,,https://course.ntu.edu.tw/courses/114-1/27705
會計實證研究一,劉心才,49014,Acc8001,722D5110,必修,,"二 2,3,4",管二研十,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/49014
論文寫作一,廖芝嫻,38665,Acc8004,722D7000,必修,,,,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/38665
論文寫作二,廖芝嫻,24981,Acc8005,722D7010,必修,,,,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/24981
會計學專題研究討論一,謝昇峯,30822,Acc8006,722D6000,必修,,四 5,管一405,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/30822
會計學專題研究討論三,謝昇峯,58498,Acc8008,722D6030,必修,,四 6,管一405,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/58498
博士論文,,44645,Acc8999,722D0010,選修,,,,1 類,,0,,https://course.ntu.edu.tw/courses/114-1/44645
進階英語一(綜合),王珊珊,14424,AdvEng2001,00420110,必帶,,"二 6,7",外教203,3 類,,0,,https://course.ntu.edu.tw/courses/114-1/14424
進階英語一(聽力),林皓輿,38284,AdvEng2005,00420310,必帶,,"四 9,10",外教201,3 類,,0,,https://course.ntu.edu.tw/courses/114-1/38284
進階英語一(聽力),莊世全,11857,AdvEng2005,00420310,必帶,,"四 8,9",外教104,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/11857
進階英語一(口說),林皓輿,49959,AdvEng2009,00420410,必帶,,"一 3,4",外教201,3 類,,0,,https://course.ntu.edu.tw/courses/114-1/49959
進階英語一(綜合思辨),劉威辰,36749,AdvEng2013,00420610,必帶,,"一 8,9",外教202,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/36749
進階英語一(綜合思辨),劉威辰,30610,AdvEng2013,00420610,必帶,,"三 6,7",普404,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/30610
進階英語一(綜合思辨),劉威辰,43703,AdvEng2013,00420610,必帶,,"三 8,9",普404,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/43703
進階英語一(綜合科技),陳逸軒,49150,AdvEng2015,00420710,必帶,,"三 8,9",新502,3 類,,0,,https://course.ntu.edu.tw/courses/114-1/49150
進階英語一(綜合學術),鍾玉玨,15962,AdvEng2017,00420810,必帶,,"二 3,4",共401,3 類,,0,,https://course.ntu.edu.tw/courses/114-1/15962
實用泰文會話,張君松,46101,AdvEng3016,004305A0,選修,,"二 6,7,8",綜603,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/46101
印尼文一上,王麗蘭,41345,AdvEng3102,00430211,選修,,"一 3,4,5",新504,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/41345
印尼文二上,王麗蘭,25531,AdvEng3103,00430221,選修,,"一 6,7,8",新301,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/25531
韓文一上,李相美,20386,AdvEng3104,00430311,選修,,"二 2,3,4",共304,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/20386
韓文一上,李相美,25949,AdvEng3104,00430311,選修,,"二 5,6,7",共304,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/25949
韓文一上,李相美,35553,AdvEng3104,00430311,選修,,"二 8,9,10",共304,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/35553
韓文一上,李相美,54182,AdvEng3104,00430311,選修,,"三 5,6,7",共403,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/54182
韓文一上,李承珍,11530,AdvEng3104,00430311,選修,,"一 5,6,7",共303,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/11530
韓文一上,李承珍,31925,AdvEng3104,00430311,選修,,"一 8,9,10",共303,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/31925
韓文一上,李承珍,50862,AdvEng3104,00430311,選修,,"二 8,9,10",共307,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/50862
韓文一上,李承珍,15762,AdvEng3104,00430311,選修,,"三 5,6,7",共404,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/15762
韓文二上,李相美,37883,AdvEng3105,00430321,選修,,"一 8,9,10",共402,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/37883
韓文二上,李承珍,11929,AdvEng3105,00430321,選修,,"二 5,6,7",共307,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/11929
馬來文一上,顏聖錝,52660,AdvEng3106,00430411,選修,,"二 6,7,8",新504,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/52660
泰文一上,張君松,13351,AdvEng3107,00430511,選修,,"三 5,6,7",綜604,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/13351
泰文一上,張君松,42635,AdvEng3107,00430511,選修,,"三 8,9,10",綜604,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/42635
泰文一上,張君松,39759,AdvEng3107,00430511,選修,,"四 6,7,8",綜602,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/39759
泰文二上,張君松,13520,AdvEng3108,00430521,選修,,"四 2,3,4",新403,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/13520
泰文三上,張君松,13411,AdvEng3109,00430531,選修,,"三 2,3,4",綜604,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/13411
越南文一上,阮蓮香,41118,AdvEng3110,00430611,選修,,"三 2,3,4",共405,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/41118
越南文一上,阮蓮香,19425,AdvEng3110,00430611,選修,,"四 2,3,4",共403,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/19425
越南文二上,阮蓮香,42407,AdvEng3111,00430621,選修,,"四 6,7,8",共403,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/42407
越南文二上,阮蓮香,48816,AdvEng3111,00430621,選修,,"三 6,7,8",共405,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/48816
韓文三上,李相美,18580,AdvEng3112,00430331,選修,,"三 8,9,10",共403,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/18580
馬來文二上,顏聖錝,39734,AdvEng3113,00430421,選修,,"二 2,3,4",新404,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/39734
越南文三上,阮蓮香,54245,AdvEng3115,00430631,選修,,"一 6,7,8",共405,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/54245
EMI課程過渡與口說技巧強化班 (文法商群),陳逸軒,10800,AdvEng5001,00450010,選修,,"五 7,8,9",外教202,3 類,,1,,https://course.ntu.edu.tw/courses/114-1/10800
EMI口說與討論訓練,莊世全,39450,AdvEng5003,00450030,選修,,"五 5,6,7",外教203,2 類,,1,,https://course.ntu.edu.tw/courses/114-1/39450
研究生線上英文一,,51083,AdvEng7001,004M0110,選修,,,,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/51083
研究生線上英文二,,33291,AdvEng7002,004M0120,選修,,,,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/33291
研究生線上英文三,,54527,AdvEng7003,004M0130,選修,,,,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/54527
研究生線上英語四(進階閱讀策略與應用),,46349,AdvEng7007,004M0170,選修,,,,2 類,,0,,https://course.ntu.edu.tw/courses/114-1/46349
服務學習甲,石曜合,24201,AGEC0007,607001G0,必帶,,,,1 類,,1,,https://course.ntu.edu.tw/courses/114-1/24201
農業經濟概論,陳郁蕙,48634,AGEC1004,60710100,必帶 / 選修,,"一 7,8",農經大講堂,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/48634
經濟學原理上,陳  暐,12057,AGEC1005,60710201,必帶,,"一 3,4,5 / 二 5 / 三 5",農經大講堂,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/12057
統計學上,楊豐安,39220,AGEC2001,60720011,必帶 / 必修 / 選修,,"一 2,3,4,6",,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/39220
個體經濟學甲上,巫凱琳,18761,AGEC2005,607263A1,必帶,,"三 6,7,8",農經三,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/18761
應用計量經濟學導論,楊豐安,19146,AGEC2018,60720030,必帶,,"二 3,4,6,7,8",,1 類,,4,,https://course.ntu.edu.tw/courses/114-1/19146
總體經濟學一,羅竹平,52964,AGEC2019,60726410,必帶,,"一 6,7,8",農經三,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/52964
農產價格,劉  鋼,18844,AGEC3006,60732700,必帶,,"五 7,8,9",農經三,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/18844
農業金融,何率慈,39910,AGEC3008,60733200,必帶,,"二 2,3,4",農經二,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/39910
農企業管理學,雷立芬,32914,AGEC3017,60731310,必帶,,"四 2,3,4",農經大講堂,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/32914
應用賽局理論,陳  暐,18312,AGEC3032,627U1320,選修,,"五 3,4,5",農經會議室,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/18312
企業總裁領導實務,唐迎華,55705,AGEC3037,627U1350,選修,,"一 7,8",農經會議室,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/55705
農產品電子商務實務,楊棟樑,95057,AGEC3044,60730910,選修,,"二 7,8",一樓研討室,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/95057
農業政策,陳郁蕙,25482,AGEC4005,60745200,必帶 / 選修,,"四 7,8,9",農經大講堂,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/25482
產業經濟學,張宏浩,26887,AGEC4013,60749460,選修,,"二 7,8,9",農經四,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/26887
中國經濟,羅竹平,18573,AGEC4017,60749510,選修,,"三 7,8,9",農經會議室,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/18573
貿易自由化與臺灣農業,何率慈,19057,AGEC4018,60749600,選修,,"三 3,4",農經會議室,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/19057
農業經濟問題討論上,陳郁蕙,39159,AGEC4019,60749101,必帶,,"五 3,4",農經大講堂,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/39159
環境與自然資源經濟學,林柏熊,47646,AGEC5001,60751000,必帶,,"三 6,7,8",農經二,1 類,,3,,https://course.ntu.edu.tw/courses/114-1/47646
環境與自然資源經濟學,石曜合,11990,AGEC5001,60751000,必修,,"五 3,4,5",農經四,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/11990
計量經濟學一,石曜合,40524,AGEC5003,627U0070,選修,,"一 6,7,8",農經四,3 類,,3,,https://course.ntu.edu.tw/courses/114-1/40524
環境經濟學,石曜合,26593,AGEC5006,627U0130,選修,,"五 3,4,5",,2 類,,3,,https://course.ntu.edu.tw/courses/114-1/26593
專題研究一,魏敏芳,13194,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/13194
專題研究一,巫凱琳,36960,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/36960
專題研究一,陳郁蕙,14599,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/14599
專題研究一,劉  鋼,50691,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/50691
專題研究一,羅竹平,17378,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/17378
專題研究一,楊豐安,44530,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/44530
專題研究一,石曜合,59558,AGEC5034,627U1140,選修,,,,2 類,,2,,https://course.ntu.edu.tw/courses/114-1/59558
專題研究一,何率慈,20257,AGEC5034,627U1140,選修,,,,3 類,,2,,https://course.ntu.edu.tw/courses/114-1/20257
氣候變遷衝擊與因應,楊之遠,48255,AGEC5038,627U1180,選修,,"二 8,9",農經大講堂,1 類,,2,,https://course.ntu.edu.tw/courses/114-1/48255
