課名,授課教授,開課系所,學分,最後開課學期,流水號,課號,品質,甜度,涼度,紮實,評價內容,評價明細_JSON,課名_catalog,教師,課程識別碼,必選修,開課系所_catalog,上課時間,上課地點,加簽類別,授課語言,學分_catalog,修課人數上限,課程概述,課程目標,課程要求,評量方式,備註,預期學習時數,詳情頁URL
專題討論二,吳思節,園藝暨景觀學研究所、園產品處理及利用組,1.0,114-2,45913,HORT8002,,,,,"[""無評價""]",[],專題討論二,吳思節,628 D0040,必修,園藝暨景觀學研究所,,,1 類,中文授課,1.0,30.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",利用組博二學生修習。與許  輔合授,,https://course.ntu.edu.tw/courses/114-2/45913
書報研讀二,杜宜殷,園藝暨景觀學研究所、園藝作物組,1.0,114-2,19550,HORT8004,,,,,"[""無評價""]",[],書報研讀二,杜宜殷,628 D1020,選修,園藝作物組,,,1 類,中文授課,1.0,10.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/19550
高級果樹學一,李國譚,園藝作物組,3.0,114-2,11113,HORT7003,,,,,"[""無評價""]",[],高級果樹學一,李國譚,628 M1110,必修,園藝作物組,,,2 類,中文授課,3.0,30.0,作物組必修,待補,,"100%	

由各授課教師分別評分

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",作物組必修，三選一。與李金龍、林書妍合授,3 小時,https://course.ntu.edu.tw/courses/114-2/11113
高級蔬菜學,林淑怡,園藝作物組,3.0,114-2,28237,HORT7005,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
高級花卉學,張耀乾,園藝作物組,3.0,114-2,38096,HORT7006,,,,,"[""無評價""]",[],高級花卉學,張耀乾,628 M1310,必修,園藝作物組,,,1 類,中文授課,3.0,20.0,本課程以碩士班作物組學生為授課對象，學程一學期。課程設計係為使修課學生對花卉重點領域有更深入之瞭解，而訓練方式係以增進學生閱讀科學論文之能力為重點，進而提昇研究及論文寫作能力。授課及討論將涵蓋六大領域，授課老師將就各主題進行提要式介紹，修課同學必須以PowerPoint報告所選論文（廿分鐘），並進行討論批判，報告後一週內須應將修改後之PPT上傳NTU COOL。全學期每位學生將報告六至十二篇論文。修課同學應事先研讀所有將討論的論文，於上課前一天中午前繳交論文閱讀心得（感想與批判）至NTU COOL。本課程每週並將進行考試及隨機抽問。,待補,"高花報告注意事項

1. 每週上課前一天中午前（星期二12:00 pm 前）於NTU COOL繳交作業（閱讀心得報告），未能準時繳交者視同未交，恕不接受遲交。
2. 閱讀心得報告無特定格式，但請讓老師知道你有好好看paper, 請不要做翻譯的工作，尤其不要只是翻譯摘要。基本上可提出你的心得及批評（對文章好的或不好的地方提出批評），寫出你的收穫等。
3. 歡迎同學進行群組討論，但心得的繳交及ＰＰＴ的製作需獨立完成，不得參考同學及學長姐者。
4. 每週上課前（或上課後）小考。
5. 本課程強調討論，發言討論多者，平時分數自然比較高。","本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",作物組必修，三選一。與張育森、葉德銘合授,,https://course.ntu.edu.tw/courses/114-2/38096
園藝學研究法二,吳俊達,園藝作物組、園產品處理及利用組,3.0,114-2,26012,HORT7024,,,,,"[""無評價""]",[],園藝學研究法二,吳俊達,628 M2040,必修,園藝作物組 / 園產品處理及利用組,,,2 類,中文授課,3.0,20.0,講授園藝學研究中重要之植體分析方法，介紹分析原理並學習分析方法及相關儀器操作。,培養研究生研究量能，學習園藝學試驗常用的方法操作與其原理.,待補,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。","園藝所作物組 作物組必修，四選一。與林淑怡、林書妍合授
園藝所產品組 處理利用組必修，需與「園產品處理技術」(628 U1810)併修，十選一。與林淑怡、林書妍合授",,https://course.ntu.edu.tw/courses/114-2/26012
作物栽培特論,李國譚,園藝暨景觀學系、園藝作物組、植物醫學碩士學位學程,3.0,114-2,14740,HORT5065,,,,,"[""無評價""]",[],作物栽培特論,李國譚,628 U2020,選修,植物醫學碩士學位學程 / 園藝暨景觀學系 / 園藝作物組,,,2 類,中文授課,3.0,25.0,待補,待補,由各授課教師自訂,"20%	

出席狀況


40%	

期中考


40%	

期末考

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與黃文達、林維怡、張育森、楊雯如、陳右人、葉德銘、林淑怡、林書妍合授,,https://course.ntu.edu.tw/courses/114-2/14740
園產品鑑別技術特論二,曾文聖,園產品處理及利用組,3.0,114-2,19690,HORT7028,,,,,"[""無評價""]",[],園產品鑑別技術特論二,曾文聖,628 M2140,選修,園產品處理及利用組,,加工館B1,2 類,中文授課,3.0,10.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與徐源泰、吳思節合授,,https://course.ntu.edu.tw/courses/114-2/19690
農產加工產業實務特論二,吳思節,園產品處理及利用組,2.0,114-2,19587,HORT7036,,,,,"[""無評價""]",[],農產加工產業實務特論二,吳思節,628 M2230,選修,園產品處理及利用組,,,2 類,中文授課,2.0,10.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。與徐源泰、劉育姍合授,,https://course.ntu.edu.tw/courses/114-2/19587
高級造園學,陳惠美,園藝暨景觀學研究所、景觀暨休憩組,3.0,114-2,59355,HORT7009,,,,,"[""無評價""]",[],高級造園學,陳惠美,628 M1610,必修,景觀暨休憩組,*此 Office Hour 需要提前預約,造園館R102,2 類,中文授課,3.0,30.0,"1. 造園景觀的範疇：
(1)造園專業範疇：景觀涵構與涉及面向；景觀工作的專業與意義 
(2)環境變遷與景觀發展：環境變遷趨勢分析；未來景觀演變之展望 
2. 造園景觀的歷史與演變：
(1)東方造園演變：東方哲學思維及其造園景觀風格演變
(2)西方造園演變：西方哲學思維及其造園景觀風格演變
3. 使用者導向的造園景觀
(1) 使用者特性與需求：人類生命週期與發展，社會群體與生活 
(2) 日常生活與城鄉景觀設計：生活品質與城鄉休閒、交通、購物、教育、醫療之景觀設計。
(3) 休憩觀光與景觀遊憩規劃：休閒、遊憩和觀光與鄉村地區、風景遊憩區、國家公園之景觀規劃。
4. 文化導向的造園景觀 
(1) 文化景觀之價值：文化的意涵、文化景觀的價值。
(2) 文化空間營造與保存：文化空間規劃與設計、再利用與經營；歷史建物、古蹟與遺址保存。 
5. 生態導向的造園景觀
(1) 生態系統與環境倫理：自然過程與人類活動之交互關係，以及環境倫理觀的演變。
(2) 景觀規劃與永續發展：基於永續發展與生態相關理論之景觀規劃理論與方法。
(3) 生態設計與生物多樣性：提升生物多樣性、降低環境衝擊之景觀設計。
6. 造園景觀經營與管理
(1) 經營管理內涵與思想：經營與管理的關係及其概念。 
(2) 景觀之經營與管理：景觀規劃與經營管理計畫之發展與研擬。
7. 景觀規劃設計方法與變革：
(1)設計理論與學派 
(2)景觀規劃設計方法與程序",本課程為景觀休憩組碩士班必修課程，延續大學部造園學與景觀學之基礎課程，將造園景觀做更深化之分析與探討。本課程透過理論觀念導讀、學術文章閱讀、案例分析探討，讓同學以更宏觀的角度，深入瞭解過去古今中外文化涵構發展下之造園景觀脈絡；並從人類需求、生態特性、歷史價值三方面剖析景觀空間特質；同時藉由景觀資源經營管理以及設計理論和執行程序之探討，精進學生之實務執行能力；最後，剖析環境變遷與未來景觀發展趨勢，培養學生環境觀察、關懷、反思與應變之能力。,,"20%	

平時表現

個人課堂參與討論之上課表現。


40%	

每週作業

每位配合各週進度，預習授課教師所發之指定閱讀學術文章並繳交300字摘要；尋找景觀案例(5篇)與其他報導(景觀議題、政策、研發…5篇)之國內外文章。


40%	

期末報告

每位同學選擇某一議題撰寫專題報告，並於期末上台報告。報告內容包括：問題界定（背景論述與研究議題重要性）、文獻回顧（相關理論、法律政策、研究、案例分析）、思辨與剖析、解方與再創。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與林寶秀合授,,https://course.ntu.edu.tw/courses/114-2/59355
景觀研究計量方法,鄭佳昆,園藝暨景觀學研究所、景觀暨休憩組,3.0,114-2,45875,HORT7017,,,,,"[""無評價""]",[],景觀研究計量方法,鄭佳昆,628 M1890,選修,景觀暨休憩組,,造園館R102,1 類,中文授課,3.0,20.0,"本課程是以統計學為基礎，指導景觀及遊憩規劃分析研究常用之計量統計分析方法之概念及相關應用。透過研究文獻的閱讀以及報告，熟悉各種資料分析方法以及研究假設和計量之間的結合，加上實際操作SPSS軟體與講義課程得以結合。將會配合期中報告以及期末考試的方法來檢視學生的學習成效，讓學生能夠實際應用上課的內容。
課程內容大要：
1.課程說明 (Course Description and Introduction)
2.研究方法與流程概述 (Research Methods and Process)
3.變項之測量尺度 (Levels of Measurement Scale)
4.常態分配(Normal distribution)
5.描述性統計 (Descriptive Statistics)
6.卡方檢定(Chi-squared Test)
7.相關分析(Correlation Analysis--Cross Tables)
8.學生 t 檢定 (Student-t Test)
9.變異數分析(一) (Analysis of Variance，ANOVA)
10.變異數分析(二) (ANOVA with Interaction and Covariance)
11.迴歸分析(一) (Regression Analysis)
12.迴歸分析(二) (Regression Analysis with Dummy Variables)
13.變異數分析與迴歸分析之比較 (ANOVA and Regression Analysis)
14.因素分析 (Factor Analysis)
15.群落分析 (Cluster Analysis)
16.結構方程式模型 (Structural Equation Modeling)",本課程主要目的在於提供同學有關計量分析理論和實務之完整知識，使同學能清楚了解計量分析之內涵。課程重點在於分析方法之選擇及分析結果之解釋，教學內容涵蓋了研究方法以及各種常用的統計分析應用，使學生能熟悉各種計量分析方法，並正確地解釋分析結果。,"上課資料請於上課前至NTU COOL下載。每週上課開始會有習作，修課同學請務必準時。作業遲交分數扣5分，遲交超過一星期不計
分。同學如有合理特殊情況需請假或緩交作業請先向授課教師說明
相關規定請參見本校「學生請假辦法」及「教師繳交及更正成績辦法」。","40%	

期末考


40%	

作業


20%	

平時成績

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/45875
專題研究二,詹東榮,獸醫學研究所,1.0,114-2,55748,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,張芳嘉,獸醫學研究所,1.0,114-2,43616,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,周崇熙,獸醫學研究所,1.0,114-2,14271,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,廖泰慶,獸醫學研究所,1.0,114-2,56788,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,葉光勝,獸醫學研究所,1.0,114-2,37208,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,林辰栖,獸醫學研究所,1.0,114-2,45133,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,陳慧文,獸醫學研究所,1.0,114-2,14702,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,蔡沛學,獸醫學研究所,1.0,114-2,27554,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,林翰佑,獸醫學研究所,1.0,114-2,27735,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,蕭逸澤,獸醫學研究所,1.0,114-2,20448,VM8006,,,,,"[""無評價""]",[],專題研究二,蕭逸澤,629 D0080,必修,獸醫學研究所,,,1 類,中文授課,1.0,2.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/20448
專題研究二,楊瑋誠,獸醫學研究所,1.0,114-2,17570,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,王家琪,獸醫學研究所,1.0,114-2,36768,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,楊文淵,獸醫學研究所,1.0,114-2,26514,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,吳乃慧,獸醫學研究所,1.0,114-2,29330,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,詹東榮,獸醫學研究所,1.0,114-2,30059,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,張芳嘉,獸醫學研究所,1.0,114-2,25688,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,周崇熙,獸醫學研究所,1.0,114-2,20274,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,廖泰慶,獸醫學研究所,1.0,114-2,13113,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,葉光勝,獸醫學研究所,1.0,114-2,19482,VM7008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,林辰栖,獸醫學研究所,1.0,114-2,41643,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,陳慧文,獸醫學研究所,1.0,114-2,17699,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,蔡沛學,獸醫學研究所,1.0,114-2,11272,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,林翰佑,獸醫學研究所,1.0,114-2,44792,VM8008,,,,,"[""無評價""]",[],專題研究四,林翰佑,629 D0100,必修,獸醫學研究所,,,1 類,中文授課,1.0,2.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/44792
專題研究四,蕭逸澤,獸醫學研究所,1.0,114-2,38753,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,楊瑋誠,獸醫學研究所,1.0,114-2,10349,VM7008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,王家琪,獸醫學研究所,1.0,114-2,23107,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,楊文淵,獸醫學研究所,1.0,114-2,18256,VM7008,,,,,"[""無評價""]",[],專題研究四,楊文淵,629 M0100,必修,獸醫學研究所,,,1 類,中文授課,1.0,2.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/18256
專題研究四,吳乃慧,獸醫學研究所,1.0,114-2,22548,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
公衛組專題討論二,周崇熙,獸醫學研究所,1.0,114-2,18136,VM7022,,,,,"[""無評價""]",[],公衛組專題討論二,周崇熙,629 M0260,必修,獸醫學研究所,,獸三館202,1 類,中文授課,1.0,10.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與楊文淵合授,,https://course.ntu.edu.tw/courses/114-2/18136
公衛組專題討論四,周崇熙,獸醫學研究所,1.0,114-2,21989,VM7024,,,,,"[""無評價""]",[],公衛組專題討論四,周崇熙,629 M0280,必修,獸醫學研究所,,,1 類,中文授課,1.0,5.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與楊文淵合授,,https://course.ntu.edu.tw/courses/114-2/21989
高等獸醫細菌學一下,周崇熙,獸醫學研究所,1.0,114-2,27767,VM7033,,,,,"[""無評價""]",[],高等獸醫細菌學一下,周崇熙,629 M1412,選修,獸醫學研究所,,,2 類,中文授課,1.0,5.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與林辰栖、楊文淵合授,,https://course.ntu.edu.tw/courses/114-2/27767
免疫毒理學特論,詹東榮,獸醫學研究所,2.0,114-2,37800,VM7093,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
保育醫學特論,楊瑋誠,獸醫學研究所,2.0,114-2,18151,VM7100,,,,,"[""無評價""]",[],保育醫學特論,楊瑋誠,629 M6220,選修,獸醫學研究所,,獸一館410,3 類,中文授課,2.0,10.0,"請注意本學期正課第一周請於8:10在綜合教學館401未來教室集合。之後上課時間將於第一週討論。

保育醫學特論課程旨在提供學生深入了解保育醫學的基礎理論與實踐應用。本課程將探討野生動物保育的當前挑戰，包括棲息地破壞、氣候變化、疾病傳播以及人類活動對生態系統的影響。學生將學習如何應用醫學知識和技術來改善和保護野生動物的健康和福祉。結合理論學習和論文案例研究，培養學生於保育醫學領域能夠獨立思考並具有創新解決方案。","課程目標包括：
1. 瞭解保育醫學的基本概念和原則。
2. 探討野生動物面臨的主要健康和福祉挑戰。
3. 學習如何設計和實施有效的保育計劃，特別是在野生動物醫療和康復方面。
4. 分析保育策略的社會、經濟和倫理影響。
5. 培養批判性思考和解決問題的技能，以應對保育醫學領域的複雜問題。",,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/18151
動物園與野生動物疾病學,余品奐,獸醫學研究所,2.0,114-2,11593,VM5043,,,,,"[""無評價""]",[],動物園與野生動物疾病學,余品奐,629 U1840,選修,獸醫學研究所,,,2 類,中文授課,2.0,30.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與楊瑋誠、季昭華合授,,https://course.ntu.edu.tw/courses/114-2/11593
癌症生物及免疫學特論,林辰栖,獸醫學研究所,2.0,114-2,55041,VM5058,,,,,"[""無評價""]",[],癌症生物及免疫學特論,王愈善博士。,629 U2000,選修,獸醫學研究所,,,2 類,中文授課,2.0,5.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",已修過免疫學或細胞生物學者優先。合授教師:王愈善博士。,,https://course.ntu.edu.tw/courses/114-2/55041
小動物行為醫學特論,王儷蒨,獸醫學系、獸醫學研究所、臨床動物醫學研究所、分子暨比較病理生物學研究所,2.0,114-2,15196,VM5098,,,,,"[""無評價""]",[],小動物行為醫學特論,王儷蒨,629 U2610,選修,獸醫學系 / 分子暨比較病理生物學研究所 / 臨床動物醫學研究所 / 獸醫學研究所,,獸三館203,3 類,中文授課,2.0,65.0,"1. 動物行為醫學為一多因子疊合的科學，融合動物心理學、生理學、神經醫學、內分泌學、藥理學、基因遺傳、免疫代謝、動物訓練、環境與人為互動等多重架構，非單一理論可以涵蓋，也不是單一的治療方向就可以達到矯正的目的。行為問題的評估除了完整的病史、動物行為的理學度量、動物生活環境及其與家庭成員之間互動關係的觀察，還需要獸醫臨床病理學、內科學、甚至神經影像學的輔助，才能獲得正確的診斷。治療上則需要飼主的配合，併行環境的改善、動物訓練的執行、以及搭配藥物的佐助，才能達到較佳的治療效果。動物行為醫學是一門複雜，且需要相關領域知識的背景與支援，並搭配實務的操作，才能熟稔的學科。本課程的架構是以動物實際的案例作為主軸，來推演說明異常行為發生的原因（包括生理、心理與環境因素等）、飼主教育及互動的方法、動物行為訓練矯正的策略、臨床的診斷，以及藥物搭配的治療方式等。同時並就現今目前國外最新動物行為學的發展與研究成果來引導同學們作延伸性的閱讀、學習與討論。並邀請具有國際認證的犬隻行為學訓練專家作實例示範與交流，以幫助同學們以實務的角度來更深入學習小動物行為學的基礎與進階的知識。 

2. 邀請專業犬隻訓練專家實務操作講解，並徵求同學的狗狗一起來上課﹝須事先報名﹞﹝同學如果有想要請訓犬專家免費指導矯正家中狗狗的行為問題，要把握機會﹞ 。

3. 本課程著重在實務。與上學期的【小動物行為醫學】，除一些基本理論作重點複習之外，多未重複。

4. 未限制大四以上同學，沒有考試，僅期末口頭報告與書面報告。",小動物行為醫學基礎與應用的結合，幫助同學從實務面來認識小動物行為醫學,,"30%	

期末口頭報告

選擇與犬貓行為醫學有關的一個主題，作深入的探討。口頭報告以ppt呈現 (每張slide要列參考資料來源，最後頁要列所有的references)，需上台報告。報告繳交PPT檔，PPT需有詳細的備忘稿。


30%	

期末書面報告

書面報告同口頭報告的題目，用word檔需作詳盡的敘述，最後頁須詳列參考文獻。報告繳交word檔，還需繳交所有參考文獻(如期刊論文、書本電子檔摘錄、網頁擷取資料(註明網址)、影片檔等)，可壓縮為一個檔案 。


21%	

出席率

加退選結束後有16堂-2堂=14堂， 出席每堂1.5分，共計1.5*14=21分。


19%	

平時表現

平日上課的主動回應。

本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/15196
小動物超音波影像學,李雅珍,獸醫學系、獸醫學研究所,1.0,114-2,57331,VM5107,,,,,"[""無評價""]",[],小動物超音波影像學,李雅珍,629 U2710,選修,獸醫學系,,醫院大講堂,3 類,中文授課,1.0,40.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",與詹益萍合授,,https://course.ntu.edu.tw/courses/114-2/57331
獸醫輻射生物及腫瘤學,李繼忠,獸醫學系、獸醫學研究所、臨床動物醫學研究所、分子暨比較病理生物學研究所,2.0,114-2,27790,VCS5006,,,,,"[""無評價""]",[],獸醫輻射生物及腫瘤學,李繼忠,643 U1970,選修,獸醫學系 / 獸醫學研究所,,,2 類,中文授課,2.0,10.0,講授放射線學基礎、輻射生物學、及放射腫瘤學原則及臨床應用、輻射治療副作用及治療管理,能夠理解輻射治療原則、適應腫瘤、副作用預防、合併治療應用及未來趨勢．,閱讀課本、參與課程、提問及討論,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",初選不開放。上課時間另訂。本課程限制修課人數及選修資格，請與講師聯絡並取得授權碼以憑選課。與王嘉、季懋欣合授,,https://course.ntu.edu.tw/courses/114-2/27790
專題研究二,林中天,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,32313,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,蘇璧伶,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,54339,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,萬灼華,獸醫學研究所、分子暨比較病理生物學研究所,1.0,114-2,12898,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,王儷蒨,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,53920,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,李雅珍,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,43930,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,武敬和,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,30491,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,張惠雯,獸醫學研究所、分子暨比較病理生物學研究所,1.0,114-2,15388,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,余品奐,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,41051,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,江逸凡,獸醫學研究所、分子暨比較病理生物學研究所,1.0,114-2,15344,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,王尚麟,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,55566,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究二,黃威翔,獸醫學研究所、分子暨比較病理生物學研究所,1.0,114-2,57884,VM8006,,,,,"[""無評價""]",[],專題研究二,黃威翔,629 D0080,必修,獸醫學研究所,,,1 類,中文授課,1.0,2.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/57884
專題研究二,張晏禎,獸醫學研究所、分子暨比較病理生物學研究所,1.0,114-2,21344,VM8006,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,林中天,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,58167,VM8008,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
專題研究四,李雅珍,獸醫學研究所、臨床動物醫學研究所,1.0,114-2,32107,VCS7004,,,,,"[""無評價""]",[],專題研究四,李雅珍,643 M0100,必修,臨床動物醫學研究所,,,1 類,中文授課,1.0,2.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/32107
專題研究四,張惠雯,獸醫學研究所、分子暨比較病理生物學研究所,1.0,114-2,32178,VM8008,,,,,"[""無評價""]",[],專題研究四,張惠雯,629 D0100,必修,獸醫學研究所,,,1 類,中文授課,1.0,2.0,,,,"本校尚無訂定 A+ 比例上限。
本校採用等第制評定成績，學生成績評量辦法中的百分制分數區間與單科成績對照表僅供參考，授課教師可依等第定義調整分數區間。詳見 學習評量專區。",,,https://course.ntu.edu.tw/courses/114-2/32178
專題研究二,梁朝雲,生物產業傳播暨發展學系、生物產業傳播暨發展學研究所,2.0,114-2,38566,BICD8011,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
農業智財策略及研究方法,王俊傑,生物產業傳播暨發展學研究所,3.0,114-2,30080,BICD7150,,,,,"[""無評價""]",[],,,,,,,,,,,,,,,,,,
